category;description;COG;name;odds_ratio_log10_corr;0
B;Chromatin structure and dynamics;COG5531;DNA-binding SWIB/MDM2 domain;-3.0;1
S;Function unknown;COG5317;Uncharacterized conserved protein, DUF1465 domain;-3.0;1
S;Function unknown;COG4253;Uncharacterized conserved protein, DUF2345 family;-3.0;1
S;Function unknown;COG4259;Uncharacterized conserved protein, DUF4810 domain;-3.0;1
S;Function unknown;COG4380;Uncharacterized conserved protein, DUF799 domain;-3.0;1
S;Function unknown;COG4390;Uncharacterized conserved protein, DUF2322 domain;-3.0;1
S;Function unknown;COG4517;Uncharacterized conserved protein, DUF1820 domain;-3.0;1
S;Function unknown;COG4519;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG4530;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG4648;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG4649;TPR-like repeat domain;-3.0;1
S;Function unknown;COG4731;Uncharacterized conserved protein, DUF2147 family;-3.0;1
S;Function unknown;COG4765;Uncharacterized conserved protein, DUF2155 domain;-3.0;1
S;Function unknown;COG4944;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG4949;Uncharacterized membrane-anchored protein;-3.0;1
S;Function unknown;COG5321;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5454;Predicted secreted protein;-3.0;1
S;Function unknown;COG5328;Uncharacterized conserved protein, UPF0262 family;-3.0;1
S;Function unknown;COG5331;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5345;Uncharacterized conserved protein, DUF2333 domain;-3.0;1
S;Function unknown;COG5349;Uncharacterized conserved protein, DUF983 family;-3.0;1
S;Function unknown;COG5352;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5375;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5388;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5389;Uncharacterized conserved protein, DUF721 domain;-3.0;1
S;Function unknown;COG5400;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5425;Usg protein (tryptophan operon, function unknown);-3.0;1
S;Function unknown;COG5447;Uncharacterized conserved protein, DUF1491 domain;-3.0;1
S;Function unknown;COG5449;Uncharacterized conserved protein, DUF2163 domain;-3.0;1
S;Function unknown;COG5452;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG4094;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG4093;Uncharacterized conserved protein, DUF2125 domain;-3.0;1
S;Function unknown;COG3908;Uncharacterized conserved protein, DUF2093 domain;-3.0;1
S;Function unknown;COG3898;Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to HemY-type protoporphyrinogen oxidase);-3.0;1
S;Function unknown;COG3198;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG3235;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG3242;Uncharacterized conserved protein YjeT, DUF2065 family;-3.0;1
S;Function unknown;COG3249;Uncharacterized conserved protein, DUF2066 domain;-3.0;1
S;Function unknown;COG3308;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG3318;Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif;-3.0;1
S;Function unknown;COG3492;Uncharacterized conserved protein, DUF1244 family;-3.0;1
S;Function unknown;COG3495;Uncharacterized conserved protein, DUF3299 family;-3.0;1
S;Function unknown;COG3528;Uncharacterized conserved protein, DUF2219 family;-3.0;1
S;Function unknown;COG3650;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG3671;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG3691;Uncharacterized conserved protein YfcZ, UPF0381/DUF406 family;-3.0;1
S;Function unknown;COG3726;Uncharacterized membrane protein Smp affecting hemolysin expression;-3.0;1
S;Function unknown;COG3748;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG3750;Uncharacterized conserved protein, UPF0335 family;-3.0;1
S;Function unknown;COG3762;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG3771;Lipopolysaccharide assembly protein YciS/LapA, DUF1049 family;-3.0;1
S;Function unknown;COG3776;Uncharacterized conserved protein YhhL, DUF1145 family;-3.0;1
S;Function unknown;COG3782;Uncharacterized conserved protein, DUF1853 domain;-3.0;1
S;Function unknown;COG3784;Uncharacterized conserved protein YdbL, DUF1318 family;-3.0;1
S;Function unknown;COG3788;Uncharacterized membrane protein YecN, MAPEG domain;-3.0;1
S;Function unknown;COG3789;Uncharacterized conserved protein YjfI, DUF2170 family;-3.0;1
S;Function unknown;COG3790;Predicted membrane protein, encoded in cydAB operon;-3.0;1
S;Function unknown;COG3811;Uncharacterized conserved protein YjhX, UPF0386/DUF2084 family;-3.0;1
S;Function unknown;COG3812;Uncharacterized conserved protein, DUF1993 domain;-3.0;1
S;Function unknown;COG3820;Uncharacterized conserved protein, DUF1013 family;-3.0;1
S;Function unknown;COG3821;Uncharacterized membrane protein;-3.0;1
S;Function unknown;COG5453;Uncharacterized conserved protein;-3.0;1
S;Function unknown;COG5458;Uncharacterized conserved protein, DUF1489 domain;-3.0;1
C;Energy production and conversion;COG1726;Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3838;Type IV secretory pathway, VirB2 component (pilin);-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3297;Type II secretory pathway, component PulL;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3455;Type VI protein secretion system component TssL/VasF/DotU;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3515;Type VI protein secretion system component TssA1/VasJ/EvfE, contains ImpA_N domain;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3516;Predicted component TssA of the type VI protein secretion system;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3517;Predicted component TssB of the type VI protein secretion system, VipA/VipB/TssB family;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3518;Predicted component of the type VI protein secretion system;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3519;Type VI protein secretion system component VasA;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3520;Predicted component of the type VI protein secretion system;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3521;Predicted component of the type VI protein secretion system;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3523;Type VI protein secretion system component VasK;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3701;Type IV secretory pathway, TrbF component;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3702;Type IV secretory pathway, VirB3 component;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3736;Type IV secretory pathway, component VirB8;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG3946;Type IV secretory pathway, VirJ component;-3.0;1
S;Function unknown;COG5462;Predicted secreted (periplasmic) protein;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG4618;ABC-type protease/lipase transport system, ATPase and permease components;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG4669;Type III secretory pathway, lipoprotein EscJ;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG4789;Type III secretory pathway, component EscV;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG4790;Type III secretory pathway, EscR/YscR component;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG4791;Type III secretory pathway, EscT/YscT component;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG4794;Type III secretory pathway, EscS/YscS component;-3.0;1
U;Intracellular trafficking, secretion, and vesicular transport;COG5268;Type IV secretory pathway, TrbD component;-3.0;1
V;Defense mechanisms;COG1133;Peptide antibiotic transporter SbmA/BacA, ABC-type permease family;-3.0;1
