TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:1990281"	"efflux pump complex"	-3	2.19589965240923	0.000780061312819188	0.747595769811916	0	-4.10205064874557	4.81294947807561	4.81647577863055	-3.2941523570879	-3.3295411558504	null	False
"GO:0048046"	"apoplast"	-1.48697432826549	4.37912414607039	0.119704408766529	0.999970385596771	1.499E-05	5.00552029323379	-2.70486360076075	-1.13076443275496	2.11557341308973	6.59443808500588	null	False
"GO:0120101"	"bacterial-type flagellum stator complex"	-3	0.477121254719662	1.00007860617845E-05	0.850685336735105	0.01872277	3.37247165314621	-2.49022858379018	-3.53450226858591	0.738991440629033	-3.80461760217668	null	False
"GO:0019898"	"extrinsic component of membrane"	-1.23303162969224	4.59327498793828	0.196005406024914	0.985758228327402	0.01937294	5.3733704055158	-1.35086869623498	-3.56214284485131	1.45936524398202	4.55814054907972	null	False
"GO:0031225"	"anchored component of membrane"	-3	4.57729643827929	0.18892484949317	0.98269683297043	0.02866913	4.29575940239392	-4.17196682429318	-1.36725013623415	-1.61259348361345	6.884010134996	null	False
"GO:0009842"	"cyanelle"	-3	4.14488541828714	0.0698033436856708	0.808210018970688	0.08565569	-2.74646806107871	-7.01947122994823	0.279269022123021	6.27937834127409	0.840838633635954	null	False
"GO:0009532"	"plastid stroma"	-1.56917876493331	4.06770304404007	0.0584345929590066	0.810173619862655	0.70138365	null	null	null	null	null	9842	True
"GO:0009526"	"plastid envelope"	-1.63799825126988	4.53060945832963	0.169668335931204	0.718490042849773	0.75616992	null	null	null	null	null	9842	True
"GO:0009941"	"chloroplast envelope"	-1.63799825126988	4.15860369981148	0.0720406623960643	0.731467648840872	0.75792216	null	null	null	null	null	9842	True
"GO:0045203"	"integral component of cell outer membrane"	-3	1.57978359661681	0.000185014542143012	0.847859133563632	0.10112311	3.50616641215349	5.43952742901724	-2.99200228169792	-4.7736245601084	2.60342927852054	null	False
"GO:1990063"	"Bam protein complex"	-1.70605431249299	1.54406804435028	0.000170013363050336	0.626417559318063	0.83270825	null	null	null	null	null	45203	True
"GO:0031246"	"intrinsic component of periplasmic side of cell outer membrane"	-1.76055710246335	2.13987908640124	0.000685053845232235	0.78673519704068	0.87895827	null	null	null	null	null	45203	True
"GO:0031421"	"invertasome"	-3	0.477121254719662	1.00007860617845E-05	0.783513164153185	0.13284021	-4.73636474298936	-3.97025506803773	5.62007020129617	4.3490477703776	-0.289250707399863	null	False
"GO:0098561"	"methyl accepting chemotaxis protein complex"	-3	0.903089986991944	3.50027512162456E-05	0.821623433662939	0.13909026	-2.28722114961185	6.30271215096444	3.19560522202406	-0.229071203361342	-5.8681493464848	null	False
"GO:1990230"	"iron-sulfur cluster transfer complex"	-3	1.07918124604762	5.50043233398145E-05	0.717119148179802	0.14149208	-7.34587730642729	-0.324621568700688	5.76521940212861	-0.968283237258948	2.95161214904698	null	False
"GO:0097347"	"TAM protein secretion complex"	-3	1.23044892137827	8.00062884942756E-05	0.815795569013957	0.14354698	-0.403773799609444	1.41281074018989	4.34063966711288	1.39831452212994	-5.24857223817278	null	False
"GO:0019897"	"extrinsic component of plasma membrane"	-1.23303162969224	4.26356506096086	0.0917372105447488	0.906731736565313	0.14681183	2.32852329390438	6.22891757340114	-2.25656283252622	-5.74556935707312	-2.29516842583511	null	False
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	-1.35267631518776	4.04855832489848	0.0559143948714369	0.817824320754866	0.85928597	null	null	null	null	null	19897	True
"GO:0048500"	"signal recognition particle"	-3	4.26507737800359	0.0920572356987259	0.701178525121637	0.19750055	-3.17275396001353	0.281345367669003	5.2280891872425	1.13395745005658	-2.05209563653215	null	False
"GO:0016604"	"nuclear body"	-1.66433925724746	4.64150385568283	0.219027215539141	0.815440427176728	0.20061281	-1.57542636349952	-7.07616215537868	-1.48524894807861	5.3107687006523	1.38377330451785	null	False
"GO:0005654"	"nucleoplasm"	-1.22829120749012	5.45646624337028	1.43043743238219	0.792535982887983	0.70412088	null	null	null	null	null	16604	True
"GO:0009330"	"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"	-3	2.85003325768977	0.00353527787284081	0.783297595288977	0.21481184	-2.21406956257011	2.42230471960601	6.18954840616567	-0.273427176919369	-3.79812083263741	null	False
"GO:0005694"	"chromosome"	-3	5.53101499611999	1.69831348744011	0.81613949419167	0.21602621	0.0574927020478666	-6.20499351981464	-1.68701049756248	5.00600186408285	-1.65245012236243	null	False
"GO:1904176"	"carbon phosphorus lyase complex"	-1.49788647074646	0.845098040014257	3.00023581853534E-05	0.760682173683146	0.21646632	-8.0549018484384	0.697137771913954	4.33593384989328	-2.47111565812468	3.23506379169475	null	False
"GO:0045250"	"cytosolic pyruvate dehydrogenase complex"	-3	0.602059991327962	1.50011790926767E-05	0.716560222672973	0.25254631	-7.71583634515369	1.78943026757155	5.47127564990793	-3.00567414640324	2.50607441625187	null	False
"GO:0042709"	"succinate-CoA ligase complex"	-3	2.64836001098093	0.00222017450571615	0.685716224921745	0.25354299	-6.40053458678971	1.21752973461192	6.5286490945822	-1.06968041095398	0.9104031959304	null	False
"GO:0017053"	"transcription repressor complex"	-1.13552764411151	4.05099807917338	0.0562294196323831	0.751188623412687	0.25587227	-4.12561195529197	2.94856744003108	6.6727954139902	-0.050265424956892	-2.08926421723672	null	False
