;KO;odds_ratio_log10_corr
0;K00001;0.419185464800178
1;K00003;0.4178612937553402
2;K00004;0.2673241391720471
3;K00005;0.2130324158090955
4;K00008;0.3890081878051116
5;K00009;0.2657735454455808
6;K00010;0.3737291141836857
7;K00012;-0.3212624651849979
8;K00013;-0.0280287236002435
9;K00014;-0.1975315231675835
10;K00015;-0.1290256785832213
11;K00016;0.7781265920738057
12;K00018;-0.544608547820046
13;K00019;0.1086509086364639
14;K00020;0.2791106563648544
15;K00021;-0.4816345114932053
16;K00023;-0.7987251949260699
17;K00024;-0.2473049346618383
18;K00027;0.1352550050842761
19;K00029;-1.608692889377065
20;K00030;0.006080012395788
21;K00031;0.2978963387091687
22;K00032;-1.2074076174467423
23;K00033;-0.2800716428807421
24;K00034;-0.013140262511304
25;K00035;-3.0
26;K00036;-0.0740560479774548
27;K00038;0.7104642910265266
28;K00040;-0.0199529403536911
29;K00041;-0.251299060351394
30;K00042;-0.1276118405313184
31;K00043;-3.0
32;K00045;-0.0647161137408489
33;K00046;0.2543350233708792
34;K00048;-0.0494168299439226
35;K00050;-3.0
36;K00052;0.0331574270129777
37;K00053;-0.0953676460639726
38;K00054;-0.0651032511024429
39;K00055;0.609933774875097
40;K00057;0.0682069317287925
41;K00058;-0.0913775244080953
42;K00059;0.3539719499050264
43;K00060;0.0106434082052824
44;K00064;-0.001731984277189
45;K00065;0.0797368072543828
46;K00066;0.0438256385250134
47;K00067;0.0366619857261455
48;K00068;0.8851492415970365
49;K00073;0.0387899320545182
50;K00074;-0.289668493273355
51;K00075;0.4015190328407603
52;K00076;-0.3226559910823314
53;K00077;0.0708517754602036
54;K00082;0.9516024132731165
55;K00086;0.8450574346678758
56;K00087;0.3372830411697952
57;K00088;-1.5225503753420635
58;K00090;-0.5407637051868525
59;K00091;-0.5490628605550296
60;K00096;0.3314650218927181
61;K00097;-1.3441158388416512
62;K00098;0.3672514630417118
63;K00099;0.2603577634579033
64;K00101;-0.0684540444329687
65;K00102;-0.3602004901272106
66;K00103;1.078781711077493
67;K00104;0.3304452359841814
68;K00105;0.7121348089339529
69;K00108;0.2102545084091703
70;K00111;-0.2487454950907175
71;K00112;-0.6294471816466624
72;K00113;-0.7636249971870471
73;K00114;-1.1355276441115094
74;K00116;0.3937499236911108
75;K00117;-1.2706832632262095
76;K00121;-0.0791559013257301
77;K00122;-0.1228723037711838
78;K00123;0.0810082087018073
79;K00124;-0.2865855554956198
80;K00126;-0.8206353908472138
81;K00127;-0.4750579864439506
82;K00128;0.2911354851634041
83;K00130;0.3797955825809103
84;K00131;0.3695966791125464
85;K00133;-0.0614993042657766
86;K00134;-0.1242232319995123
87;K00135;-0.0959692858688704
88;K00137;-0.1580559214965612
89;K00138;-0.0187607543337161
90;K00140;0.2725227294355981
91;K00141;0.398254926733521
92;K00145;0.1829832779034214
93;K00146;0.7673154891591969
94;K00147;0.4874112904109547
95;K00148;0.178585777584759
96;K00151;0.2900829852058748
97;K00153;1.4092140043756614
98;K00154;-1.0962668701822278
99;K00156;0.1444953216508241
100;K00158;0.8008943775222034
101;K00161;-0.0703355020530384
102;K00162;-0.2524914404374589
103;K00163;-0.1028831661478568
104;K00164;-0.1062387553439606
105;K00166;0.3078092882354251
106;K00167;-0.0504010428739304
107;K00169;-0.0906194374534665
108;K00170;-0.261446172353753
