bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
291968;Acaricomes;Acaricomes phytoseiuli;Acaricomes phytoseiuli;;;
35830;Acetivibrio;Acetivibrio cellulolyticus;Acetivibrio cellulolyticus;;obligate anaerobic;
290052;Acetivibrio;Acetivibrio ethanolgignens;Acetivibrio ethanolgignens;;obligate anaerobic;
937251;Youngiibacter;Youngiibacter multivorans;Youngiibacter multivorans;;obligate anaerobic;
745369;Acetoanaerobium;Acetoanaerobium noterae;Acetoanaerobium noterae;;;
104101;Acetobacter;Acetobacter indonesiensis;Acetobacter indonesiensis;;;
146474;Acetobacter;Acetobacter orientalis;Acetobacter orientalis;;;
65959;Acetobacter;Acetobacter pomorum;Acetobacter pomorum;;;
104102;Acetobacter;Acetobacter tropicalis;Acetobacter tropicalis;;;
52689;Acetobacterium;Acetobacterium bakii;Acetobacterium bakii;;;
52690;Acetobacterium;Acetobacterium carbinolicum;Acetobacterium carbinolicum;;;
82116;Acetobacterium;Acetobacterium dehalogenans;Acetobacterium dehalogenans;;obligate anaerobic;
52691;Acetobacterium;Acetobacterium fimetarium;Acetobacterium fimetarium;;;22
52693;Acetobacterium;Acetobacterium paludosum;Acetobacterium paludosum;;;
93718;Acetobacterium;Acetobacterium psammolithicum;Acetobacterium psammolithicum;;obligate anaerobic;
132932;Acetobacterium;Acetobacterium tundrae;Acetobacterium tundrae;;;
52694;Acetobacterium;Acetobacterium wieringae;Acetobacterium wieringae;;;10
33952;Acetobacterium;Acetobacterium woodii;Acetobacterium woodii;;;
28187;Acetohalobium;Acetohalobium arabaticum;Acetohalobium arabaticum;;obligate anaerobic;
2374;Acetonema;Acetonema longum;Acetonema longum;;obligate anaerobic;
264633;Acholeplasma;Acholeplasma cavigenitalium;Acholeplasma cavigenitalium;;aerobic;
264639;Acholeplasma;Acholeplasma parvum;Acholeplasma parvum;;aerobic;
228419;Acholeplasma;Acholeplasma pleciae;Acholeplasma pleciae;;facultative;
69473;Acholeplasma;Acholeplasma vituli;Acholeplasma vituli;;aerobic;
72556;Achromobacter;Achromobacter piechaudii;Achromobacter piechaudii;;obligate aerobic;
72557;Achromobacter;Achromobacter ruhlandii;Achromobacter ruhlandii;;aerobic;
32002;Achromobacter;Achromobacter denitrificans;Achromobacter denitrificans;;anaerobic;
85698;Achromobacter;Achromobacter xylosoxidans;Achromobacter xylosoxidans;;aerobic;
65403;Acidaminobacter;Acidaminobacter hydrogenoformans;Acidaminobacter hydrogenoformans;;;
2283;Acidianus;Acidianus ambivalens;Acidianus ambivalens;;;4
41673;Acidianus;Acidianus brierleyi;Acidianus brierleyi;;aerobic;
12915;Acidianus;Acidianus infernus;Acidianus infernus;;aerobic;2.5
76588;Acidiphilium;Acidiphilium acidophilum;Acidiphilium acidophilum;;obligate aerobic;
524;Acidiphilium;Acidiphilium cryptum;Acidiphilium cryptum;;aerobic;
62140;Acidiphilium;Acidiphilium multivorum;Acidiphilium multivorum;;obligate aerobic;
33999;Acidiphilium;Acidiphilium organovorum;Acidiphilium organovorum;;obligate aerobic;
526;Acidiphilium;Acidiphilium rubrum;Acidiphilium rubrum;;obligate aerobic;
50715;Acidisphaera;Acidisphaera rubrifaciens;Acidisphaera rubrifaciens;;;
119978;Acidithiobacillus;Acidithiobacillus albertensis;Acidithiobacillus albertensis;;aerobic;
33059;Acidithiobacillus;Acidithiobacillus caldus;Acidithiobacillus caldus;;;
920;Acidithiobacillus;Acidithiobacillus ferrooxidans;Acidithiobacillus ferrooxidans;;obligate aerobic;
