campedelli_genus;campedelli_species;campedelli_speciesStrain;campedelli_oxygen
Lactobacillus;Lactobacillus acetotolerans;Lactobacillus acetotolerans;anaerobic
Lactobacillus;Lactobacillus acidifarinae;Lactobacillus acidifarinae;microaerophilic
Lactobacillus;Lactobacillus acidipiscis;Lactobacillus acidipiscis;microaerophilic
Lactobacillus;Lactobacillus acidophilus;Lactobacillus acidophilus;microaerophilic
Lactobacillus;Lactobacillus agilis;Lactobacillus agilis;microaerophilic
Lactobacillus;Lactobacillus algidus;Lactobacillus algidus;anaerobic
Lactobacillus;Lactobacillus alimentarius;Lactobacillus alimentarius;aerobic
Lactobacillus;Lactobacillus amylophilus;Lactobacillus amylophilus;aerobic
Lactobacillus;Lactobacillus amylotrophicus;Lactobacillus amylotrophicus;aerobic
Lactobacillus;Lactobacillus amylovorus;Lactobacillus amylovorus;microaerophilic
Lactobacillus;Lactobacillus animalis;Lactobacillus animalis;aerobic
Lactobacillus;Lactobacillus antri;Lactobacillus antri;anaerobic
Lactobacillus;Lactobacillus apinorum;Lactobacillus apinorum;anaerobic
Lactobacillus;Lactobacillus apis;Lactobacillus apis;anaerobic
Lactobacillus;Lactobacillus apodemi;Lactobacillus apodemi;microaerophilic
Lactobacillus;Lactobacillus aquaticus;Lactobacillus aquaticus;microaerophilic
Lactobacillus;Lactobacillus aviarius subsp. araffinosus;Lactobacillus aviarius subsp. araffinosus;microaerophilic
Lactobacillus;Lactobacillus aviarius subsp. aviarius;Lactobacillus aviarius subsp. aviarius;microaerophilic
Lactobacillus;Lactobacillus backii;Lactobacillus backii;preferably anaerobic
Lactobacillus;Lactobacillus bifermentans;Lactobacillus bifermentans;anaerobic
Lactobacillus;Lactobacillus bombi;Lactobacillus bombi;anaerobic
Lactobacillus;Lactobacillus bombicola;Lactobacillus bombicola;obligate anaerobic
Lactobacillus;Lactobacillus brantae;Lactobacillus brantae;microaerophilic
Lactobacillus;Lactobacillus brevis;Lactobacillus brevis;microaerophilic
Lactobacillus;Lactobacillus buchneri;Lactobacillus buchneri;microaerophilic
Lactobacillus;Lactobacillus cacaonum;Lactobacillus cacaonum;microaerophilic
Lactobacillus;Lactobacillus camelliae;Lactobacillus camelliae;microaerophilic
Lactobacilllus;Lactobacilllus capillatus;Lactobacilllus capillatus;microaerophilic
Lactobacillus;Lactobacillus casei;Lactobacillus casei;microaerophilic
Lactobacillus;Lactobacillus ceti;Lactobacillus ceti;obligate anaerobic
Lactobacillus;Lactobacillus colehominis;Lactobacillus colehominis;microaerophilic
Lactobacillus;Lactobacillus collinoides;Lactobacillus collinoides;anaerobic
Lactobacillus;Lactobacillus composti;Lactobacillus composti;microaerophilic
Lactobacillus;Lactobacillus concavus;Lactobacillus concavus;microaerophilic
Lactobacillus;Lactobacillus coryniformis subsp. coryniformis;Lactobacillus coryniformis subsp. coryniformis;microaerophilic
Lactobacillus;Lactobacillus coryniformis subsp. torquens;Lactobacillus coryniformis subsp. torquens;microaerophilic
Lactobacillus;Lactobacillus crispatus;Lactobacillus crispatus;preferably anaerobic
Lactobacillus;Lactobacillus crustorum;Lactobacillus crustorum;aerobic
Lactobacillus;Lactobacillus curieae;Lactobacillus curieae;facultative
Lactobacillus;Lactobacillus curvatus;Lactobacillus curvatus;microaerophilic
Lactobacillus;Lactobacillus delbrueckii subsp. bulgaricus;Lactobacillus delbrueckii subsp. bulgaricus;microaerophilic
Lactobacillus;Lactobacillus delbrueckii subsp. delbrueckii;Lactobacillus delbrueckii subsp. delbrueckii;microaerophilic
Lactobacillus;Lactobacillus delbrueckii subsp. indicus;Lactobacillus delbrueckii subsp. indicus;microaerophilic
Lactobacillus;Lactobacillus delbrueckii subsp. jakobsenii;Lactobacillus delbrueckii subsp. jakobsenii;anaerobic
Lactobacillus;Lactobacillus delbrueckii subsp. lactis;Lactobacillus delbrueckii subsp. lactis;microaerophilic
Lactobacillus;Lactobacillus dextrinicus;Lactobacillus dextrinicus;aerobic
Lactobacillus;Lactobacillus diolivorans;Lactobacillus diolivorans;aerobic
Lactobacillus;Lactobacillus equi;Lactobacillus equi;microaerophilic
Lactobacillus;Lactobacillus equicursoris;Lactobacillus equicursoris;microaerophilic
Lactobacillus;Lactobacillus equigenerosi;Lactobacillus equigenerosi;microaerophilic
Lactobacillus;Lactobacillus fabifermentans;Lactobacillus fabifermentans;microaerophilic
Lactobacillus;Lactobacillus faecis;Lactobacillus faecis;microaerophilic
Lactobacillus;Lactobacillus farciminis;Lactobacillus farciminis;microaerophilic
Lactobacillus;Lactobacillus farraginis;Lactobacillus farraginis;microaerophilic
Lactobacillus;Lactobacillus fermentum;Lactobacillus fermentum;aerobic
Lactobacillus;Lactobacillus floricola;Lactobacillus floricola;aerobic
Lactobacillus;Lactobacillus florum;Lactobacillus florum;anaerobic
Lactobacillus;Lactobacillus formosensis;Lactobacillus formosensis;anaerobic
Lactobacillus;Lactobacillus fornicalis;Lactobacillus fornicalis;aerobic
Lactobacillus;Lactobacillus fructivorans;Lactobacillus fructivorans;microaerophilic
Lactobacillus;Lactobacillus frumenti;Lactobacillus frumenti;anaerobic
Lactobacillus;Lactobacillus fuchuensis;Lactobacillus fuchuensis;aerobic
Lactobacillus;Lactobacillus furfuricola;Lactobacillus furfuricola;microaerophilic
Lactobacillus;Lactobacillus futsaii;Lactobacillus futsaii;aerobic
Lactobacillus;Lactobacillus gallinarum;Lactobacillus gallinarum;microaerophilic
Lactobacillus;Lactobacillus gasseri;Lactobacillus gasseri;preferably anaerobic
Lactobacillus;Lactobacillus gastricus;Lactobacillus gastricus;anaerobic
Lactobacillus;Lactobacillus ghanensis;Lactobacillus ghanensis;anaerobic
Lactobacillus;Lactobacillus gigeriorum;Lactobacillus gigeriorum;microaerophilic
Lactobacillus;Lactobacillus ginsenosidimutans;Lactobacillus ginsenosidimutans;anaerobic
Lactobacillus;Lactobacillus gorillae;Lactobacillus gorillae;microaerophilic
Lactobacillus;Lactobacillus graminis;Lactobacillus graminis;microaerophilic
Lactobacillus;Lactobacillus hammesii;Lactobacillus hammesii;microaerophilic
Lactobacillus;Lactobacillus hamsteri;Lactobacillus hamsteri;anaerobic
Lactobacillus;Lactobacillus harbinensis;Lactobacillus harbinensis;microaerophilic
Lactobacillus;Lactobacillus hayakitensis;Lactobacillus hayakitensis;microaerophilic
Lactobacillus;Lactobacillus heilongjiangensis;Lactobacillus heilongjiangensis;microaerophilic
Lactobacillus;Lactobacillus helsingborgensis;Lactobacillus helsingborgensis;anaerobic
Lactobacillus;Lactobacillus helveticus;Lactobacillus helveticus;anaerobic
Lactobacillus;Lactobacillus herbarum;Lactobacillus herbarum;microaerophilic
Lactobacillus;Lactobacillus hilgardii;Lactobacillus hilgardii;preferably anaerobic
Lactobacillus;Lactobacillus hokkaidonensis;Lactobacillus hokkaidonensis;microaerophilic
Lactobacillus;Lactobacillus hominis;Lactobacillus hominis;microaerophilic
Lactobacillus;Lactobacillus homohiochii;Lactobacillus homohiochii;microaerophilic
Lactobacillus;Lactobacillus hordei;Lactobacillus hordei;anaerobic
Lactobacillus;Lactobacillus iners;Lactobacillus iners;anaerobic
Lactobacillus;Lactobacillus ingluviei;Lactobacillus ingluviei;microaerophilic
Lactobacillus;Lactobacillus insicii;Lactobacillus insicii;microaerophilic
Lactobacillus;Lactobacillus intestinalis;Lactobacillus intestinalis;aerobic
Lactobacillus;Lactobacillus iwatensis;Lactobacillus iwatensis;microaerophilic
Lactobacillus;Lactobacillus jensenii;Lactobacillus jensenii;microaerophilic
Lactobacillus;Lactobacillus johnsonii;Lactobacillus johnsonii;preferably anaerobic
Lactobacillus;Lactobacillus kalixensis;Lactobacillus kalixensis;microaerophilic
Lactobacillus;Lactobacillus kefiranofaciens subsp. kefiranofaciens;Lactobacillus kefiranofaciens subsp. kefiranofaciens;anaerobic
Lactobacillus;Lactobacillus kefiranofaciens subsp. kefirgranum;Lactobacillus kefiranofaciens subsp. kefirgranum;anaerobic
Lactobacillus;Lactobacillus kefiri;Lactobacillus kefiri;anaerobic
Lactobacillus;Lactobacillus kimbladii;Lactobacillus kimbladii;anaerobic
Lactobacillus;Lactobacillus kimchicus;Lactobacillus kimchicus;aerobic
Lactobacillus;Lactobacillus kimchiensis;Lactobacillus kimchiensis;microaerophilic
Lactobacillus;Lactobacillus kisonensis;Lactobacillus kisonensis;microaerophilic
Lactobacilus;Lactobacilus kitasatonis;Lactobacilus kitasatonis;microaerophilic
Lactobacillus;Lactobacillus koreensis;Lactobacillus koreensis;aerobic
Lactobacillus;Lactobacillus kullabergensis;Lactobacillus kullabergensis;obligate anaerobic
Lactobacillus;Lactobacillus kunkeei;Lactobacillus kunkeei;aerobic
Lactobacillus;Lactobacillus lindneri;Lactobacillus lindneri;aerobic
Lactobacillus;Lactobacillus malefermentans;Lactobacillus malefermentans;microaerophilic
Lactobacillus;Lactobacillus mali;Lactobacillus mali;aerobic
Lactobacillus;Lactobacillus manihotivorans;Lactobacillus manihotivorans;aerobic
Lactobacillus;Lactobacillus mellifer;Lactobacillus mellifer;anaerobic
Lactobacillus;Lactobacillus mellis;Lactobacillus mellis;obligate anaerobic
Lactobacillus;Lactobacillus melliventris;Lactobacillus melliventris;obligate anaerobic
Lactobacillus;Lactobacillus mindensis;Lactobacillus mindensis;microaerophilic
Lactobacillus;Lactobacillus mixtipabuli;Lactobacillus mixtipabuli;microaerophilic
Lactobacillus;Lactobacillus modestisalitolerans;Lactobacillus modestisalitolerans;facultative
Lactobacillus;Lactobacillus mucosae;Lactobacillus mucosae;preferably anaerobic
Lactobacillus;Lactobacillus mudanjiangensis;Lactobacillus mudanjiangensis;microaerophilic
Lactobacillus;Lactobacillus murinus;Lactobacillus murinus;microaerophilic
Lactobacillus;Lactobacillus nagelii;Lactobacillus nagelii;anaerobic
Lactobacillus;Lactobacillus namurensis;Lactobacillus namurensis;microaerophilic
Lactobacillus;Lactobacillus nantensis;Lactobacillus nantensis;microaerophilic
Lactobacillus;Lactobacillus nasuensis;Lactobacillus nasuensis;anaerobic
Lactobacillus;Lactobacillus nenjiangensis;Lactobacillus nenjiangensis;microaerophilic
Lactobacillus;Lactobacillus nodensis;Lactobacillus nodensis;microaerophilic
Lactobacillus;Lactobacillus odoratitofui;Lactobacillus odoratitofui;microaerophilic
Lactobacillus;Lactobacillus oeni;Lactobacillus oeni;microaerophilic
Lactobacillus;Lactobacillus oligofermentans;Lactobacillus oligofermentans;microaerophilic
Lactobacillus;Lactobacillus oris;Lactobacillus oris;anaerobic
Lactobacillus;Lactobacillus oryzae;Lactobacillus oryzae;anaerobic
Lactobacillus;Lactobacillus otakiensis;Lactobacillus otakiensis;microaerophilic
Lactobacillus;Lactobacillus ozensis;Lactobacillus ozensis;microaerophilic
Lactobacillus;Lactobacillus panis;Lactobacillus panis;aerobic
Lactobacillus;Lactobacillus pantheris;Lactobacillus pantheris;microaerophilic
Lactobacillus;Lactobacillus parabrevis;Lactobacillus parabrevis;anaerobic
Lactobacillus;Lactobacillus parabuchneri;Lactobacillus parabuchneri;aerobic
Lactobacillus;Lactobacillus paracasei subsp. paracasei;Lactobacillus paracasei subsp. paracasei;microaerophilic
Lactobacillus;Lactobacillus paracasei subsp. tolerans;Lactobacillus paracasei subsp. tolerans;aerobic
Lactobacillus;Lactobacillus paracollinoides;Lactobacillus paracollinoides;anaerobic
Lactobacillus;Lactobacillus parafarraginis;Lactobacillus parafarraginis;microaerophilic
Lactobacillus;Lactobacillus parakefiri;Lactobacillus parakefiri;anaerobic
Lactobacillus;Lactobacillus paralimentarius;Lactobacillus paralimentarius;microaerophilic
Lactobacillus;Lactobacillus paraplantarum;Lactobacillus paraplantarum;aerobic
Lactobacillus;Lactobacillus pasteurii;Lactobacillus pasteurii;microaerophilic
Lactobacillus;Lactobacillus paucivorans;Lactobacillus paucivorans;anaerobic
Lactobacillus;Lactobacillus pentosus;Lactobacillus pentosus;microaerophilic
Lactobacillus;Lactobacillus perolens;Lactobacillus perolens;anaerobic
Lactobacillus;Lactobacillus plajomi;Lactobacillus plajomi;facultative
Lactobacillus;Lactobacillus plantarum;Lactobacillus plantarum;aerobic
Lactobacillus;Lactobacillus plantarum subsp. argentoratensis;Lactobacillus plantarum subsp. argentoratensis;microaerophilic
Lactobacillus;Lactobacillus pobuzihii;Lactobacillus pobuzihii;microaerophilic
Lactobacillus;Lactobacillus pontis;Lactobacillus pontis;aerobic
Lactobacillus;Lactobacillus porcinae;Lactobacillus porcinae;microaerophilic
Lactobacillus;Lactobacillus psittaci;Lactobacillus psittaci;anaerobic
Lactobacillus;Lactobacillus rapi;Lactobacillus rapi;microaerophilic
Lactobacillus;Lactobacillus rennini;Lactobacillus rennini;microaerophilic
Lactobacillus;Lactobacillus reuteri;Lactobacillus reuteri;aerobic
Lactobacillus;Lactobacillus rhamnosus;Lactobacillus rhamnosus;anaerobic
Lactobacillus;Lactobacillus rodentium;Lactobacillus rodentium;microaerophilic
Lactobacillus;Lactobacillus rossiae;Lactobacillus rossiae;microaerophilic
Lactobacillus;Lactobacillus ruminis;Lactobacillus ruminis;anaerobic
Lactobacillus;Lactobacillus saerimneri;Lactobacillus saerimneri;aerobic
Lactobacillus;Lactobacillus sakei subsp. carnosus;Lactobacillus sakei subsp. carnosus;microaerophilic
Lactobacillus;Lactobacillus sakei subsp. sakei;Lactobacillus sakei subsp. sakei;aerobic
Lactobacillus;Lactobacillus salivarius;Lactobacillus salivarius;microaerophilic
Lactobacillus;Lactobacillus sanfranciscensis;Lactobacillus sanfranciscensis;anaerobic
Lactobacillus;Lactobacillus saniviri;Lactobacillus saniviri;microaerophilic
Lactobacillus;Lactobacillus satsumensis;Lactobacillus satsumensis;microaerophilic
Lactobacillus;Lactobacillus secaliphilus;Lactobacillus secaliphilus;microaerophilic
Lactobacillus;Lactobacillus selangorensis;Lactobacillus selangorensis;aerobic
Lactobacillus;Lactobacillus senioris;Lactobacillus senioris;microaerophilic
Lactobacillus;Lactobacillus senmaizukei;Lactobacillus senmaizukei;microaerophilic
Lactobacillus;Lactobacillus sharpeae;Lactobacillus sharpeae;microaerophilic
Lactobacillus;Lactobacillus shenzhenensis;Lactobacillus shenzhenensis;microaerophilic
Lactobacillus;Lactobacillus sicerae;Lactobacillus sicerae;anaerobic
Lactobacillus;Lactobacillus silagei;Lactobacillus silagei;microaerophilic
Lactobacillus;Lactobacillus siliginis;Lactobacillus siliginis;anaerobic
Lactobacillus;Lactobacillus similis;Lactobacillus similis;microaerophilic
Lactobacillus;Lactobacillus songhuajiangensis;Lactobacillus songhuajiangensis;microaerophilic
Lactobacillus;Lactobacillus spicheri;Lactobacillus spicheri;microaerophilic
Lactobacillus;Lactobacillus sucicola;Lactobacillus sucicola;microaerophilic
Lactobacillus;Lactobacillus suebicus;Lactobacillus suebicus;microaerophilic
Lactobacillus;Lactobacillus sunkii;Lactobacillus sunkii;microaerophilic
Lactobacillus;Lactobacillus taiwanensis;Lactobacillus taiwanensis;microaerophilic
Lactobacillus;Lactobacillus thailandensis;Lactobacillus thailandensis;microaerophilic
Lactobacillus;Lactobacillus tucceti;Lactobacillus tucceti;aerobic
Lactobacillus;Lactobacillus ultunensis;Lactobacillus ultunensis;anaerobic
Lactobacillus;Lactobacillus uvarum;Lactobacillus uvarum;microaerophilic
Lactobacillus;Lactobacillus vaccinostercus;Lactobacillus vaccinostercus;microaerophilic
Lactobacillus;Lactobacillus vaginalis;Lactobacillus vaginalis;anaerobic
Lactobacillus;Lactobacillus versmoldensis;Lactobacillus versmoldensis;microaerophilic
Lactobacillus;Lactobacillus vespulae;Lactobacillus vespulae;microaerophilic
Lactobacillus;Lactobacillus vini;Lactobacillus vini;aerobic
Lactobacillus;Lactobacillus wasatchensis;Lactobacillus wasatchensis;anaerobic
Lactobacillus;Lactobacillus xiangfangensis;Lactobacillus xiangfangensis;aerobic
Lactobacillus;Lactobacillus yonginensis;Lactobacillus yonginensis;microaerophilic
Lactobacillus;Lactobacillus zeae;Lactobacillus zeae;anaerobic
Lactobacillus;Lactobacillus zymae;Lactobacillus zymae;microaerophilic
