corkrey_taxID;corkrey_genus;corkrey_species;corkrey_speciesStrain;corkrey_growthTemp;corkrey_oxygen;corkrey_trophy;corkrey_doublingH;corkrey_ref
41211;Desulfotomaculum;Desulfotomaculum sp.;Desulfotomaculum sp.;65;anaerobic;autotroph;5;Karnauchow TM, Koval SF, Jarrell KF. Isolation and characterization of three thermophilic anaerobes from a St. Lucia hot spring. Syst Appl Microbiol. 1992
291048;Caminibacter;Caminibacter mediatlanticus;Caminibacter mediatlanticus;55;anaerobic;autotroph;0.83;Voordeckers JW, Starovoytov V, Vetriani C. Caminibacter mediatlanticus sp. nov., a thermophilic, chemolithoautotrophic, nitrateammonifying bacterium isolated from a deep-sea hydrothermal vent on the Mid-Atlantic Ridge. Int J Syst Evol Microbiol. 2005
217041;Caminibacter;Caminibacter profundus;Caminibacter profundus;55;facultative;autotroph;0.67;Voordeckers JW, Starovoytov V, Vetriani C. Caminibacter mediatlanticus sp. nov., a thermophilic, chemolithoautotrophic, nitrateammonifying bacterium isolated from a deep-sea hydrothermal vent on the Mid-Atlantic Ridge. Int J Syst Evol Microbiol. 2005
2181;Methanothermus;Methanothermus sociabilis;Methanothermus sociabilis;80;anaerobic;autotroph;5;Lauerer G, Kristjansson JK, Langworthy TA, KoÃƒÃ nig H, Stetter KO. Methanothermus sociabilis sp. nov., a Second Species within the Methanothermaceae Growing at 97o C. Syst Appl Microbiol. 1986
585455;Thiohalobacter;Thiohalobacter thiocyanaticus;Thiohalobacter thiocyanaticus;30;anaerobic;autotroph;15.4;Sorokin DY, Kovaleva OL, Tourova TP, Muyzer G. Thiohalobacter thiocyanaticus gen. nov., sp. nov., a moderately halophilic, sulfuroxidizing gammaproteobacterium from hypersaline lakes, that utilizes thiocyanate. Int J Syst Evol Microbiol. 2010
33070;Synechococcus;Synechococcus lividus;Synechococcus lividus;65;aerobic;autotroph;8.91;Meeks JC, Castenholz RW. Growth and photosynthesis in an extreme thermophile, Synechococcus lividus (Cyanophyta). Arch Mikrobiol. 1971
84981;Desulfofaba;Desulfofaba gelida;Desulfofaba gelida;7.5;anaerobic;autotroph;143.85;Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999
84983;Desulfofrigus;Desulfofrigus fragile;Desulfofrigus fragile;18;anaerobic;autotroph;21.28;Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999
84979;Desulfotalea;Desulfotalea arctica;Desulfotalea arctica;18.2;anaerobic;autotroph;38.29;Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999
84980;Desulfotalea;Desulfotalea psychrophila;Desulfotalea psychrophila;9.9;anaerobic;autotroph;28.66;Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999
1422;Geobacillus;Geobacillus stearothermophilus;Geobacillus stearothermophilus;68.4;facultative;autotroph;0.24;Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980
1219;Prochlorococcus;Prochlorococcus marinus;Prochlorococcus marinus;23.6;aerobic;autotroph;28.62;Moore LR, Goericke R, Chisholm SW. Comparative physiology of Synechococcus and Prochlorococcus: influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar Ecol Prog Ser. 1995
1131;Synechococcus;Synechococcus sp.;Synechococcus sp.;27.9;aerobic;autotroph;20.77;Moore LR, Goericke R, Chisholm SW. Comparative physiology of Synechococcus and Prochlorococcus: influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar Ecol Prog Ser. 1995
1081799;Thermomarinilinea;Thermomarinilinea lacunofontalis;Thermomarinilinea lacunofontalis;50.2;aerobic;autotroph;3.96;Nunoura T, Hirai M, Miyazaki M, Kazama H, Makita H, Hirayama H, et al. Isolation and characterization of a thermophilic, obligately anaerobic and heterotrophic marine Chloroflexi bacterium from a Chloroflexidominated microbial community associated with a Japanese shallow hydrothermal system, and proposal for Thermomarinilinea lacunofontalis gen. nov., sp. nov. Microbes Environ. 2013
54252;Pyrolobus;Pyrolobus fumarii;Pyrolobus fumarii;105.6;facultative;autotroph;0.95;BloÃƒÃ chl E, Rachel R, Burggraf S, Hafenbradl D, Jannasch HW, Stetter KO. Pyrolobus fumarii, gen. and sp. nov., represents a novel group of archaea, extending the upper temperature limit for life to 113 C. Extremophiles. 1997
28181;Magnetovibrio;Magnetovibrio blakemorei;Magnetovibrio blakemorei;27;microaerophilic;autotroph;11;Bazylinski DA, Williams TJ, LefeÃƒÃ„vre CT, Trubitsyn D, Fang J, Beveridge TJ, et al. Magnetovibrio blakemorei gen. nov., sp. nov., a magnetotactic bacterium (Alphaproteobacteria: Rhodospirillaceae) isolated from a salt marsh. Int J Syst Evol Microbiol. 2013
444162;Thiofaba;Thiofaba tepidiphila;Thiofaba tepidiphila;45;anaerobic;autotroph;1.64;Mori K, Suzuki Ki. Thiofaba tepidiphila gen. nov., sp. nov., a novel obligately chemolithoautotrophic, sulfur-oxidizing bacterium of the Gammaproteobacteria isolated from a hot spring. Int J Syst Evol Microbiol. 2008
364032;Sulfurivirga;Sulfurivirga caldicuralii;Sulfurivirga caldicuralii;50.1;microaerophilic;autotroph;1.24;Takai K, Miyazaki M, Nunoura T, Hirayama H, Oida H, Furushima Y, et al. Sulfurivirga caldicuralii gen. nov., sp. nov., a novel microaerobic, thermophilic, thiosulfate-oxidizing chemolithoautotroph, isolated from a shallow marine hydrothermal system occurring in a coral reef, Japan. Int J Syst Evol Microbiol. 2006
332101;Clostridium;Clostridium drakei;Clostridium drakei;30;anaerobic;autotroph;2.4;Liou JSC, Balkwill DL, Drake GR, Tanner RS. Clostridium carboxidivorans sp. nov., a solvent-producing clostridium isolated from an agricultural settling lagoon, and reclassification of the acetogen Clostridium scatologenes strain SL1 as Clostridium drakei sp. nov. Int J Syst Evol Microbiol. 2005
1232575;Acidithiobacillus;Acidithiobacillus ferridurans;Acidithiobacillus ferridurans;29;facultative;autotroph;5.34;Hedrich S, Johnson DB. Acidithiobacillus ferridurans sp. nov., an acidophilic iron-, sulfur-and hydrogen-metabolizing chemolithotrophic gammaproteobacterium. Int J Syst Evol Microbiol. 2013
1541;Clostridium;Clostridium mayombei;Clostridium mayombei;30;anaerobic;autotroph;5;Kane MD, Brauman A, Breznak JA. Clostridium mayombei sp. nov., an H2/CO2 acetogenic bacterium from the gut of the African soil-feeding termite, Cubitermes speciosus. Arch Microbiol. 1991
152526;Caminibacter;Caminibacter hydrogeniphilus;Caminibacter hydrogeniphilus;60;anaerobic;autotroph;1.47;Alain K, Querellou J, Lesongeur F, Pignet P, Crassous P, RagueÃƒÃ…neÃƒÃ„s G, et al. Caminibacter hydrogeniphilus gen. nov., sp. nov., a novel thermophilic, hydrogen-oxidizing bacterium isolated from an East Pacific Rise hydrothermal vent. Int J Syst Evol Microbiol. 2002
33943;Bacillus;Bacillus tusciae;Bacillus tusciae;55;aerobic;autotroph;6.5;Bonjour F, Aragno M. Bacillus tusciae, a new species of thermoacidophilic, facultatively chemolithoautotrophic hydrogen oxidizing sporeformer from a geothermal area. Arch Microbiol. 1984
160808;Acidithiobacillus;Acidithiobacillus ferrivorans;Acidithiobacillus ferrivorans;30;facultative;autotroph;5.59;Hallberg KB, GonzaÃƒÃ…lez-Toril E, Johnson DB. Acidithiobacillus ferrivorans, sp. nov.
1538;Clostridium;Clostridium ljungdahlii;Clostridium ljungdahlii;37;anaerobic;autotroph;0.26;Tanner RS, Miller LM, Yang D. Clostridium ljungdahlii sp. nov., an acetogenic species in clostridial rRNA homology group I. Int J Syst Bacteriol. 1993
74969;Ferroplasma;Ferroplasma acidiphilum;Ferroplasma acidiphilum;42.5;aerobic;autotroph;59.66;Franzmann PD, Haddad CM, Hawkes RB, Robertson WJ, Plumb JJ. Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation. Miner Eng. 2005
312540;Ferroplasma;Ferroplasma cyprexacervatum;Ferroplasma cyprexacervatum;51.6;aerobic;autotroph;12.01;Franzmann PD, Haddad CM, Hawkes RB, Robertson WJ, Plumb JJ. Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation. Miner Eng. 2005
28252;Paracoccus;Paracoccus halodenitrificans;Paracoccus halodenitrificans;33;facultative;autotroph;1.77;Krist K. Description and mechanisms of bacterial growth responses to water activity and compatible solutes, PhD Thesis. Hobart: University of Tasmania
2242;Halobacterium;Halobacterium salinarum;Halobacterium salinarum;49.1;aerobic;autotroph;1.05;Robinson JL, Pyzyna B, Atrasz RG, Henderson CA, Morrill KL, Burd AM, et al. Growth Kinetics of Extremely Halophilic Archaea (Family Halobacteriaceae) as Revealed by Arrhenius Plots. J Bacteriol. 2005 February
1165;Anabaena;Anabaena cylindrica;Anabaena cylindrica;29;aerobic;autotroph;56;Smith RV, Evans MCW. Nitrogenase activity in cell-free extracts of the blue-green alga, Anabaena cylindrica. J Bacteriol. 1971
53443;Ruminococcus;Ruminococcus hydrogenotrophicus;Ruminococcus hydrogenotrophicus;37;anaerobic;autotroph;1.8;Bernalier A, Willems A, Leclerc M, Rochet V, Collins MD. Ruminococcus hydrogenotrophicus sp. nov., a new H2/CO2-utilizing acetogenic bacterium isolated from human feces. Arch Microbiol. 1996
