faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Streptosporangium;Streptosporangium roseum;;Streptosporangium roseum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Acetitomaculum;Acetitomaculum ruminis;;Acetitomaculum ruminis ;reductive_acetogenesis|reductive_acetogenesis;DOI:10.1111/j.1574-6968.1995.tb07880.x| 10.1002/9780470015902.a0020086.pub2
Acetivibrio;Acetivibrio cellulolyticus;;Acetivibrio cellulolyticus ;cellulolysis|cellulolysis|chemoheterotrophy|chemoheterotrophy;Leschine (1995) - Cellulose degradation in anaerobic environments| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Acetivibrio;Acetivibrio cellulosolvens;;Acetivibrio cellulosolvens ;cellulolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Acetoanaerobium;Acetoanaerobium noterae;;Acetoanaerobium noterae ;reductive_acetogenesis;10.1002/9780470015902.a0020086.pub2
Acetobacter;Acetobacter methanolicus;;Acetobacter methanolicus ;methanol_oxidation|methylotrophy|chemoheterotrophy|chemoheterotrophy;Murrell and Dalton (2013) - Methane and Methanol Utilizers ISBN: 9781489923387
Acetobacter;Acetobacter pasteurianus;;Acetobacter pasteurianus ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 461
Acetobacterium;Acetobacterium malicum;;Acetobacterium malicum ;aromatic_compound_degradation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Acetobacterium;Acetobacterium woodii;;Acetobacterium woodii ;aromatic_compound_degradation|reductive_acetogenesis|chemoheterotrophy;Bache et al. (1981) - Selective isolation of Acetobacterium woodii on methoxylated aromatic acids and determination of growth yields| 10.1002/9780470015902.a0020086.pub2
Acetogenium;Acetogenium kivui;;Acetogenium kivui ;reductive_acetogenesis;Yang et al (1989) - Nickel transport by the thermophilic acetogen Acetogenium kivui
Acetohalobium;Acetohalobium arabaticum;;Acetohalobium arabaticum ;reductive_acetogenesis;10.1002/9780470015902.a0020086.pub2
Acetonema;Acetonema longum;;Acetonema longum ;reductive_acetogenesis;10.1002/9780470015902.a0020086.pub2
Achromobacter;Achromobacter arsenoxydans;;Achromobacter arsenoxydans ;arsenite_oxidation_detoxification|dissimilatory_arsenite_oxidation;Turner (1954) - Bacterial oxidation of arsenite
Achromobacter;Achromobacter denitrificans;;Achromobacter denitrificans ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1002/cncr.20604
Achromobacter;Achromobacter piechaudii;;Achromobacter piechaudii ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Achromobacter;Achromobacter ruhlandii;;Achromobacter ruhlandii ;dark_hydrogen_oxidation|nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Achromobacter;Achromobacter xylosoxidans;;Achromobacter xylosoxidans ;nitrate_denitrification|human_pathogens_all|nitrate_respiration|nitrate_reduction |nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|human_associated|animal_parasites_or_symbionts|nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1111/j.1348-0421.1998.tb02306.x| DOI:10.1002/cncr.20604| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Achromobacter;Achromobacter xylosoxidans;xylosoxidans;Achromobacter xylosoxidans xylosoxidans;nitrate_respiration|nitrate_reduction |nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidaminococcus;Acidaminococcus fermentans;;Acidaminococcus fermentans ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Acidianus;Acidianus ambivalens;;Acidianus ambivalens ;sulfur_respiration|dark_sulfide_oxidation|respiration_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds;DOI:10.1007/978-94-017-9269-1_10| DOI:10.1128/AEM.67.7.2873–2882.2001
Acidianus;Acidianus brierleyi;;Acidianus brierleyi ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208
Acidianus;Acidianus manzaensis;;Acidianus manzaensis ;dark_hydrogen_oxidation|dark_sulfur_oxidation|aerobic_chemoheterotrophy|iron_respiration|dark_oxidation_of_sulfur_compounds|chemoheterotrophy;DOI:10.1007/s00284-006-0151-1| DOI:10.1007/s00284-006-0151-1| DOI:10.1007/s00284-006-0151-1| DOI:10.1007/s00284-006-0151-1
