ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Acanthopleuribacter;Acanthopleuribacter pedis;FYK2218;Acanthopleuribacter pedis FYK2218;other;negative;aerobic;alkalinePhosphatase|catalasePositive|oxidasePositive;alanine|glucose|serine|threonine;10.1099/ijs.0.65589-0
Acaricomes;Acaricomes phytoseiuli;CSC;Acaricomes phytoseiuli CSC;other;positive;aerobic;catalasePositive;dextrin|fructose|glucose|glutamicAcid|maltose|mannose|sucrose;10.1099/ijs.0.63930-0
Acetanaerobacterium;Acetanaerobacterium elongatum;Z7T;Acetanaerobacterium elongatum Z7T;wastewater;positive;anaerobic;aesculinHydrolysis|gelatinase;arabinose|cellobiose|fructose|galactose|glucose|maltose|raffinose|salicin|sucrose|xylose;10.1099/ijs.0.63212-0
Acetobacter;Acetobacter fabarum;985;Acetobacter fabarum 985;other;negative;aerobic;catalasePositive;xylose;10.1099/ijs.0.65778-0
Acetobacter;Acetobacter ghanensis;R-29337T;Acetobacter ghanensis R-29337T;plant associated;negative;aerobic;catalasePositive;glycerol;10.1099/ijs.0.64840-0
Acetobacter;Acetobacter nitrogenifigens;RG1;Acetobacter nitrogenifigens RG1;other;negative;aerobic;catalasePositive;arabinose|fructose|galactose|mannitol|sorbitol|sucrose|xylose;10.1099/ijs.0.64101-0
Acetobacter;Acetobacter oeni;B13;Acetobacter oeni B13;other;negative;aerobic;catalasePositive;glucose;10.1099/ijs.0.46000-0
Acetobacter;Acetobacter senegalensis; CWBI-B418T;Acetobacter senegalensis CWBI-B418T;plant associated;negative;aerobic;catalasePositive;ethanol|glycerol;10.1099/ijs.0.64678-0
Acidaminococcus;Acidaminococcus intestini;ADV255.99T;Acidaminococcus intestini ADV255.99T;other;negative;anaerobic;indoleProduction;acetate|arginine|butanol|glycine|histidine|lactate|leucine;10.1099/ijs.0.64883-0
Acidicapsa;Acidicapsa borealis;KA1;Acidicapsa borealis KA1;other;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive;arabinose|cellobiose|fructose|galactose|glucose|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.034819-0
Acidicapsa;Acidicapsa ligni;WH120;Acidicapsa ligni WH120;other;negative;aerobic;acidPhosphatase|alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase;arabinose|cellobiose|fructose|galactose|glucose|lactate|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.034819-0
Acidisoma;Acidisoma sibiricum;TPB606T;Acidisoma sibiricum TPB606T;freshwater sediment (river| lake| pond);negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive|ureasePositive;arabinose|asparagine|cellobiose|fructose|galactose|galcturonicAcid|gluconicAcid|glucose|glycerol|lactose|mannitol|mannose|myo-inositol|pyruvate|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.009209-0
Acidisoma;Acidisoma tundrae;WM1T;Acidisoma tundrae WM1T;freshwater sediment (river| lake| pond);negative;aerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive|oxidasePositive;arabinose|asparagine|ethanol|fructose|galactose|galcturonicAcid|gluconicAcid|glucose|glycerol|lactate|malate|mannitol|mannose|myo-inositol|pyruvate|sorbitol|trehalose|xylose;10.1099/ijs.0.009209-0
Acidithiobacillus;Acidithiobacillus ferridurans;JCM 18981;Acidithiobacillus ferridurans JCM 18981;wastewater;negative;facultative;;;10.1099/ijs.0.049759-0
