kremer_genus;kremer_species;kremer_species;kremer_source;kremer_growthTemp;kremer_growthRate;kremer_growthRateLnCorr
Acutodesmus;Acutodesmus acuminatus;Acutodesmus acuminatus;freshwater;20|25|27.5|30|32.5|35;0.58|0.65|0.86|0.62|0.74|0.67;12.12271315|12.0242234|12.2006161|11.77154405|11.84828189|11.65034227
Acutodesmus;Acutodesmus dimorphus;Acutodesmus dimorphus;freshwater;10|15|20|25|30|35;0.4|0.69|1.1|1.23|1.31|1.5;12.1985252|12.516183|12.76275051|12.66202048|12.51960699|12.45628494
Acutodesmus;Acutodesmus obliquus;Acutodesmus obliquus;freshwater;20|25|27.5|30|32.5|35|15|20|25|30|9.5|16.5|24|28|15|20|26|30|33|20|25|30|35;0.497|0.7|0.567|0.66|0.75|0.6524|0.68|0.7|0.5376|0.65|0.37|0.53|0.6|0.48|0.453|1.232|1.839|1.729|0.79|1.367|1.53|1.68|1.587|0.44|1.3|1.72|1.41;11.96827508|12.31076539|11.88761034|12.03949087|12.06375692|11.82248245|11.86391737|11.79271204|11.43017935|11.62003692|11.89299441|12.03256206|11.94418069|11.51561068|12.34615253|13.02914683|13.10614314|12.87847508|12.65152435|12.98005889|12.8386394|12.76837365|12.59139022|11.84645978|12.71737058|12.79190414|12.39440954
Akashiwo;Akashiwo sanguinea;Akashiwo sanguinea;marine;15|18|20|24|25|27|15|20|25|30|15|20|25|30|33|15|20|25|30|33|15|20|25|30|33;0.069314718|0.138629436|0.159423852|0.164275882|0.202398977|0.48|0.246760396|0.250226132|0.261316487|0.279338314|0.303598465|0.230818011|0.241215219|0.254385015|0.259237046|0.290428669|0.83|0.21140989|0.213489332|0.264089076|0.269634253|0.295280699|0.224148944|0.227128767|0.230071803|0.234854235|0.289300393|0.312108918|0.316928139|0.325941185|0.334586352|0.371889327|0.326345852|0.351876685|0.357836332|0.358130636|0.381123101|0.188096758|0.188942881|0.216239536|0.218777904|0.261856586|0.232242291|0.279367648|0.287129904|0.290919062|0.308871579|0.309423398|0.33462314|0.347646072|0.362876281|0.363501676|0.411693883|0.437739747|0.460621848|0.477470727|0.516318796|0.262481981|0.278043282|0.28183244|0.31707529|0.359896457|0.154766881|0.169482059|0.190377611|0.224663975|0.233014838|0.145533107|0.180518442|0.195270407|0.211309951|0.234670296|0.287718511|0.324763971|0.330944345|0.337639751|0.355592268|0.333924169|0.336499325|0.342201456|0.347462132|0.355849783|0.147409292|0.193283858|0.206527518|0.21885148|0.254572573|0.062355565|0.066806907|0.073502312|0.074054132|0.130781141|0.268110537|0.273481577|0.28701954|0.287865663|0.290587971|0.275872793|0.291029426|0.303647691|0.336572901|0.346947101|0.379320492|0.381049525|0.417543166|0.421332324|0.421700203|0.283193594|0.291434093|0.294450705|0.368284109|0.406212479|0.064121387|0.065225025|0.08553197|0.108119768|0.129309624;10.21814867|10.91129585|11.0510578|11.08103863|11.28973229|12.02048775|11.26810286|11.28205009|11.32541732|11.39210869|11.47539104|11.03079548|11.07485547|11.12801484|11.14690879|11.26052391|12.26867674|10.81805801|10.82784602|11.04054561|11.06132558|11.15218558|11.39180217|11.40500852|11.41788285|11.43845645|11.64695698|11.50303727|11.51836011|11.546402|11.57258005|11.67828135|11.33520875|11.41053182|11.42732674|11.42814886|11.49037346|10.57878107|10.58326933|10.71821133|10.72988165|10.90962155|11.42727259|11.61202006|11.63942615|11.6525365|11.712417|11.49439561|11.57268999|11.61086998|11.653747|11.65546896|11.56753111|11.62887558|11.67982846|11.71575389|11.79397543|10.91200701|10.96960137|10.98313728|11.10096383|11.22764094|10.26370949|10.35453657|10.47079902|10.63639534|10.67289163|10.95989501|11.17532435|11.25387671|11.33281742|11.43767294|11.42166766|11.54278373|11.56163527|11.58166455|11.63346981|11.35816496|11.36584718|11.38265065|11.39790672|11.42175972|10.33503759|10.60598445|10.67225824|10.7302179|10.88141053|9.354642417|9.423595968|9.519106356|9.526585834|10.09531474|11.57089075|11.59072567|11.6390417|11.64198533|11.65139776|11.37962491|11.43310943|11.47555317|11.57849982|11.60885737|11.48563251|11.49018039|11.58163897|11.59067293|11.59154568|10.98795532|11.01663846|11.02693618|11.25067925|11.34870094|9.382567454|9.399632709|9.670679719|9.905029071|10.08399921
Alexandrium;Alexandrium catenella;Alexandrium catenella;marine;15|20|25|10|12|14|16;0.299|0.522|0.635|0.124766493|0.07624619|0.207944154|0.069314718;11.67993498|12.01735264|12.00087603|11.03350459|10.44904272|11.3616408|10.17357926
Alexandrium;Alexandrium fundyense;Alexandrium fundyense;marine;5|10|15|20|5|10|15|20;0.098|0.15|0.462|0.291|0.083|0.124|0.28|0.15;11.02777892|11.21769595|12.1150563|11.43300832|10.86165205|11.02734222|11.61428101|10.77032034
Alexandrium;Alexandrium minutum;Alexandrium minutum;marine;12|16|20|25;0.10327893|0.266861665|0.301519024|0.289042374;10.75250866|11.52165241|11.46851816|11.21382434
Alexandrium;Alexandrium monilatum;Alexandrium monilatum;marine;20|25|31;0.255|0.263|0.336|0.599|0.643|0.57|0.653;11.3009486|11.33183908|11.57679621|11.94251263|12.01339576|11.64718614|11.78312691
Alexandrium;Alexandrium osterfeldii;Alexandrium osterfeldii;marine;11.3|11.4|16.3|16.4|20.3|20.6|23.5|23.7;0.062383246|0.055451774|0.15249238|0.159423852|0.221807098|0.214875626|0.159423852|0.145560908;10.28041977|10.15804882|10.94872585|10.98874681|11.14854294|11.10387051|10.68179572|10.58239006
Alexandrium;Alexandrium tamarense;Alexandrium tamarense;marine;8|12|16|5.5|8.5|10.5|13|16|18|20|22.5|24.5|5|10|15|20;0.345|0.4|0.537|0.073|0.095|0.197|0.189|0.254|0.271|0.357|0.277|0.359|0.317|0.383|0.319|0.417|0.278|0.438|0.135|0.145560908|0.2703274|0.402025365|0.42281978;12.14389916|12.10653982|12.22092009|10.70931508|10.8307839|11.56011073|11.42568972|11.72127697|11.67168359|11.94730055|11.5589395|11.81824438|11.60560342|11.79473663|11.52487615|11.79277127|11.28019099|11.73478879|10.47344805|11.42340605|11.80669447|11.97600659|11.80663109
Alexandrium;Alexandrium tamiyavanichii ;Alexandrium tamiyavanichii ;marine;20|25|30;0.3|0.404|0.436;11.46346752|11.54866591|11.41946682
Amphidinium;Amphidinium carteri;Amphidinium carteri;marine;10|15|20|25|15|22|25;0.2|0.27|0.31|0.35|0.52|0.37|0.38|0.42|0.44|0.45|0.53|0.58|0.37|0.52|0.56|0.61|0.68|0.554517744|0.896932452|0.684829414;11.50537802|11.80548262|11.94363296|12.06499381|12.46088947|11.89299441|11.91966266|12.01974612|11.84645978|11.86893263|12.03256206|12.12271315|11.46075404|11.80107985|11.87518782|11.96070999|12.06934383|12.29759021|12.4728283|12.07642081
Amphiprora;Amphiprora ;Amphiprora ;marine;14|17|21|28|31;0.138629436|0.34657359|0.415888308|0.901091335|0.693147181;10.95617569|11.73875497|11.74703722|12.22678321|11.84279214
Amphora;Amphora ;Amphora ;freshwater;15|20|25|30|35;0.013169796|0.17467309|0.063076393|0.068621571|0.026339593|0.036043653|0.060303805|0.081791367|0.113676138;8.557417433|11.14240758|9.904031629|9.988291982|8.818324279|9.131981822|9.441219777|9.745996274|9.876418068
Anabaena;Anabaena ;Anabaena ;freshwater;18|23|28|35|20|24|28|32|35|10|13|16|19|21|23|25|28|10|13|16|19|21|23|25|28|10|13|16|19|21|23|25|28|10|13|16|19|21|23|25|28;0.24329466|0.255078162|0.353505062|0.371526889|0.565608099|0.604424341|0.503224853|0.527485004|0.407570542|0.528178152|0.577391601|0.867127123|0.410343131|0.353|0.397|0.362|0.517|0.444|0.409|0.392|0.375|0.177|0.319|0.422|0.509|0.56|0.733|0.698|0.711|0.246|0.444|0.612|0.634|0.776|0.793|0.69|0.672|0.28|0.332|0.362|0.44|0.47|0.496;11.34097494|11.38827166|11.49926166|11.5489851|11.76107802|11.82745309|11.36410165|11.41118499|11.76989908|11.85859955|11.78169731|12.02672454|11.16005827|12.07352871|12.05350105|11.8265662|12.0510873|11.81244505|11.64507901|11.51851287|11.35010262|11.38321039|11.83475587|11.9799273|12.03549244|12.04455727|12.22850956|12.09547014|11.98984902|11.71239219|12.16538933|12.35165427|12.25509338|12.37077301|12.30718708|12.08394263|11.93343493|11.84185026|11.87469974|11.74005696|11.69468863|11.80339522|11.78409655|11.75382696|11.62975252
