mason_genus;mason_species;mason_strain;mason_speciesStrain;mason_medium;mason_doublingH;mason_growthTemp;mason_ref
Azotobacter;Azotobacter chroococcum;;Azotobacter chroococcum;Glucose broth;0.45;;MASON, M. M. 1934 Master's Thesis, Cornell University
Bacillus;Bacillus cereus;;Bacillus cereus;Glucose broth;0.283333333;;MASON, M. M. 1934 Master's Thesis, Cornell University.
Bacillus;Bacillus megaterium;;Bacillus megaterium;Broth;0.516666667;;HENRICI, A. T. 1928 Morphologic Variation and Rate of Growth of Bacteria, Springfield, C. C. Thomas.
Bacillus;Bacillus mycoides;;Bacillus mycoides;Broth;0.466666667;;WARD, M., AND FRANKLAND 1895 Proc. Royal Soc. London, 58, 265.
Bacillus;Bacillus subtilis;;Bacillus subtilis;Glucose broth;0.433333333;;MASON, M. M. 1934 Master's Thesis, Cornell University.
Bacillus;Bacillus thermophilis;;Bacillus thermophilis;Glucose broth;0.266666667;55;HANSEN, P. A. 1932 Arch. Microbiol., 4, 23.
Clostridium;Clostridium botulinum;;Clostridium botulinum;Glucose broth;0.583333333;;WAGNER, E., MAYER, K. F., AND DOZIER, C. C. 1925 Jour. Bact., 10, 321.
Clostridium;Clostridium butyricum;;Clostridium butyricum;Corn mash;0.85;;McCoY, E., FRED, E. B., ET AL. 1926 Jour. Inf. Dis., 39, 451.
Clostridium;Clostridium perfringens;;Clostridium perfringens;milk;0.583333333;;FRAZIER, W. C., AND WHITTIER, E. 0. 1931 Jour. Bact., 21, 239.
Corynebacterium;Corynebacterium diphtheriae;;Corynebacterium diphtheriae;Seum + glucose broth;0.566666667;;MASON, M. M. 1934 Master's Thesis, Cornell University.
Corynebacterium;Corynebacterium pseudodiphtheriticum;;Corynebacterium pseudodiphtheriticum;Boroth;0.616666666666667|0.383333333333333;;HENRICI, A. T. 1928 Morphologic Variation and Rate of Growth of Bacteria, Springfield, C. C. Thomas.|FRAZIER, W. C., AND WHITTIER, E. 0. 1931 Jour. Bact., 21, 239.
Enterococcus;Enterococcus faecalis;;Enterococcus faecalis;Milk;0.45;;MASON, M. M. 1934 Master's Thesis, Cornell University.
Escherichia;Escherichia coli;;Escherichia coli;Milk;0.208333333;;FRAZIER, W. C., AND WHITTIER, E. 0. 1931 Jour. Bact., 21, 239.
Escherichia;Escherichia communior;;Escherichia communior;Broth;0.266666667;;HEHEWERTH 1901 Arch. Hyg., 39, 321.
Klebsiella;Klebsiella aerogenes;;Klebsiella aerogenes;Peptone + glucose;0.286666667;;MASON, M. M. 1934 Master's Thesis, Cornell University.
Lactobacillus;Lactobacillus acidophilus;;Lactobacillus acidophilus;Milk;1.1;;FOTER, M. J. 1933-4 Unpublished data, Cornell University.
Lactobacillus;Lactobacillus casei;;Lactobacillus casei;Milk;0.633333333;;FRAZIER, W. C., AND WHITTIER, E. 0. 1931 Jour. Bact., 21, 239.
Lactobacillus;Lactobacillus delbrueckii;;Lactobacillus delbrueckii;Wort;1.383333333;45;SLATOR, A. 1916 Jour. Chem. Soc., 109, 2.
Lactobacillus;Lactobacillus delbrueckii;bulgaricus;Lactobacillus delbrueckii bulgaricus;Yeast extract;0.616666667;;COHEN, B., AND CLARK, W. M. 1917 Jour. Bact., 4, 409.
Lactobacillus;Lactobacillus pentoaceticus;;Lactobacillus pentoaceticus;Yeast extract;0.95;;ANDERSON, J. A., FRED, E. B., AND PETERSON, W. H. 1920 Jour. Inf. Dis., 27, 281.
Lactococcus;Lactococcus lactis;;Lactococcus lactis;Milk;0.391666667;;HEINEMANN, D. G., AND GLENN, T. H. 1908 Jour. Inf. Dis., 5, 534.
