microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Abiotrophia;Abiotrophia defectiva;;Abiotrophia defectiva;positive;humanMicrobiome;yes;;
Acaricomes;Acaricomes phytoseiuli;;Acaricomes phytoseiuli;positive;;;no;animal
Acaryochloris;Acaryochloris marina;;Acaryochloris marina;;;no;;
Acaryochloris;Acaryochloris sp. ;CCMEE 5410;Acaryochloris sp. CCMEE 5410;negative;;;;
Acetivibrio;Acetivibrio cellulolyticus;;Acetivibrio cellulolyticus;positive;;;no;
Acetobacter;Acetobacter aceti;;Acetobacter aceti;negative;;;;
Acetobacter;Acetobacter pasteurianus;;Acetobacter pasteurianus;negative;;;no;
Acetobacteraceae;Acetobacteraceae bacterium;AT 5844;Acetobacteraceae bacterium AT 5844;positive;;;;
Acetobacterium;Acetobacterium woodii;;Acetobacterium woodii;positive;;;;
Acetohalobium;Acetohalobium arabaticum;;Acetohalobium arabaticum;positive;;;yes;
Acetonema;Acetonema longum;;Acetonema longum;negative;;;no;
Acholeplasma;Acholeplasma laidlawii;;Acholeplasma laidlawii;;;;no;
Acholeplasma;Acholeplasma phage ;L2;Acholeplasma phage L2;;;yes;no;
Acholeplasma;Acholeplasma phage ;MV L1;Acholeplasma phage MV L1;;;;;
Achromobacter;Achromobacter arsenitoxydans;;Achromobacter arsenitoxydans;negative;;;;
Achromobacter;Achromobacter piechaudii;;Achromobacter piechaudii;;;;;
Achromobacter;Achromobacter xylosoxidans;;Achromobacter xylosoxidans;negative;;;;
Acidaminococcus;Acidaminococcus fermentans;;Acidaminococcus fermentans;negative;humanMicrobiome;yes;no;
Acidaminococcus;Acidaminococcus intestini;;Acidaminococcus intestini;negative;humanMicrobiome;;no;
Acidaminococcus;Acidaminococcus sp. ;BV3L6;Acidaminococcus sp. BV3L6;negative;humanMicrobiome;;no;
Acidaminococcus;Acidaminococcus sp. ;D21;Acidaminococcus sp. D21;negative;humanMicrobiome;;no;
Acidaminococcus;Acidaminococcus sp. ;HPA0509;Acidaminococcus sp. HPA0509;negative;humanMicrobiome;;no;
Acidianus;Acidianus hospitalis;;Acidianus hospitalis;;;;yes;
Acidilobus;Acidilobus saccharovorans;;Acidilobus saccharovorans;;;;yes;
Acidimicrobium;Acidimicrobium ferrooxidans;;Acidimicrobium ferrooxidans;positive;;;yes;
Acidiphilium;Acidiphilium cryptum;;Acidiphilium cryptum;negative;;;no;
Acidiphilium;Acidiphilium multivorum;;Acidiphilium multivorum;negative;;;no;
Acidiphilium;Acidiphilium sp. ;PM;Acidiphilium sp. PM;negative;;;yes;
Acidithiobacillus;Acidithiobacillus caldus;;Acidithiobacillus caldus;negative;;;yes;
Acidithiobacillus;Acidithiobacillus ferrivorans;;Acidithiobacillus ferrivorans;negative;;;yes;
Acidithiobacillus;Acidithiobacillus ferrooxidans;;Acidithiobacillus ferrooxidans;negative;;;yes;
Acidithiobacillus;Acidithiobacillus sp. ;GGI 221;Acidithiobacillus sp. GGI 221;negative;;;yes;
Acidithiobacillus;Acidithiobacillus thiooxidans;;Acidithiobacillus thiooxidans;negative;;;yes;
Acidobacterium;Acidobacterium capsulatum;;Acidobacterium capsulatum;negative;;;yes;
Acidocella;Acidocella sp. ;MX AZ02;Acidocella sp. MX AZ02;negative;;;yes;
Acidothermus;Acidothermus cellulolyticus;;Acidothermus cellulolyticus;negative;;;yes;
Acidovorax;Acidovorax avenae;;Acidovorax avenae;negative;;;no;plant
Acidovorax;Acidovorax citrulli;;Acidovorax citrulli;negative;;;no;plant
Acidovorax;Acidovorax delafieldii;;Acidovorax delafieldii;negative;;;;
Acidovorax;Acidovorax ebreus;;Acidovorax ebreus;negative;;;no;
Acidovorax;Acidovorax radicis;;Acidovorax radicis;negative;;;no;
Acidovorax;Acidovorax sp. ;CF316;Acidovorax sp. CF316;negative;;;;
Acidovorax;Acidovorax sp. ;JS42;Acidovorax sp. JS42;negative;;;no;
Acidovorax;Acidovorax sp. ;KKS102;Acidovorax sp. KKS102;;;;;
Acidovorax;Acidovorax sp. ;MR S7;Acidovorax sp. MR S7;negative;;;;
Acidovorax;Acidovorax sp. ;NO 1;Acidovorax sp. NO 1;negative;;;;
Aciduliprofundum;Aciduliprofundum boonei;;Aciduliprofundum boonei;;;;yes;
Acinetobacter;Acinetobacter bacteriophage ;AP22;Acinetobacter bacteriophage AP22;;;;no;animal
Acinetobacter;Acinetobacter baumannii;;Acinetobacter baumannii;negative;humanMicrobiome;;no;animal
Acinetobacter;Acinetobacter baylyi;;Acinetobacter baylyi;negative;;;no;
Acinetobacter;Acinetobacter beijerinckii;;Acinetobacter beijerinckii;negative;;;no;
Acinetobacter;Acinetobacter bereziniae;;Acinetobacter bereziniae;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter bouvetii;;Acinetobacter bouvetii;negative;;;no;
Acinetobacter;Acinetobacter brisouii;;Acinetobacter brisouii;negative;;;no;
Acinetobacter;Acinetobacter gerneri;;Acinetobacter gerneri;negative;;;no;
Acinetobacter;Acinetobacter guillouiae;;Acinetobacter guillouiae;negative;;yes;no;
Acinetobacter;Acinetobacter gyllenbergii;;Acinetobacter gyllenbergii;negative;;;no;
Acinetobacter;Acinetobacter haemolyticus;;Acinetobacter haemolyticus;negative;;;no;
Acinetobacter;Acinetobacter indicus;;Acinetobacter indicus;negative;;;no;
Acinetobacter;Acinetobacter johnsonii;;Acinetobacter johnsonii;negative;;yes;no;
Acinetobacter;Acinetobacter junii;;Acinetobacter junii;negative;;yes;no;
Acinetobacter;Acinetobacter lwoffii;;Acinetobacter lwoffii;negative;;yes;no;
Acinetobacter;Acinetobacter nectaris;;Acinetobacter nectaris;negative;;;no;plant
Acinetobacter;Acinetobacter oleivorans;;Acinetobacter oleivorans;negative;;;no;
Acinetobacter;Acinetobacter parvus;;Acinetobacter parvus;negative;;;no;
Acinetobacter;Acinetobacter phage ;133;Acinetobacter phage 133;;;;no;
Acinetobacter;Acinetobacter phage ;AB3;Acinetobacter phage AB3;;;;no;
Acinetobacter;Acinetobacter phage ;Abp1;Acinetobacter phage Abp1;;;;no;
Acinetobacter;Acinetobacter phage ;Ac42;Acinetobacter phage Ac42;;;;no;
Acinetobacter;Acinetobacter phage ;Acj61;Acinetobacter phage Acj61;;;;no;
Acinetobacter;Acinetobacter phage ;Acj9;Acinetobacter phage Acj9;;;;no;
Acinetobacter;Acinetobacter phage ;AP205;Acinetobacter phage AP205;;;;no;
Acinetobacter;Acinetobacter phage ;Bphi B1251;Acinetobacter phage Bphi B1251;;;;no;
Acinetobacter;Acinetobacter phage ;ZZ1;Acinetobacter phage ZZ1;;;;no;
Acinetobacter;Acinetobacter pittii;calcoaceticus nosocomialis;Acinetobacter pittii calcoaceticus nosocomialis;negative;;;no;
Acinetobacter;Acinetobacter radioresistens;;Acinetobacter radioresistens;negative;;;no;
Acinetobacter;Acinetobacter rudis;;Acinetobacter rudis;negative;;;no;
Acinetobacter;Acinetobacter schindleri;;Acinetobacter schindleri;negative;;;no;
Acinetobacter;Acinetobacter soli;;Acinetobacter soli;negative;;;no;
Acinetobacter;Acinetobacter sp. ;528;Acinetobacter sp. 528;negative;;;no;
