moore_genus;moore_species;moore_strain;moore_speciesStrain;moore_doublingH
Prochlorococcus;Prochlorococcus marinus;MED4;Prochlorococcus marinus MED4;26.61
Prochlorococcus;Prochlorococcus marinus;MIT9201;Prochlorococcus marinus MIT9201;20.67
Prochlorococcus;Prochlorococcus marinus;MIT9202;Prochlorococcus marinus MIT9202;19.67
Prochlorococcus;Prochlorococcus marinus;MIT9215;Prochlorococcus marinus MIT9215;21.54
Prochlorococcus;Prochlorococcus marinus;MIT9302;Prochlorococcus marinus MIT9302;21.6
Prochlorococcus;Prochlorococcus marinus;MIT9312;Prochlorococcus marinus MIT9312;21.32
Prochlorococcus;Prochlorococcus marinus;NATL2A;Prochlorococcus marinus NATL2A;28.66
Prochlorococcus;Prochlorococcus marinus;NATL1;Prochlorococcus marinus NATL1;25.2
Prochlorococcus;Prochlorococcus marinus;SS120;Prochlorococcus marinus SS120;28.35
Prochlorococcus;Prochlorococcus marinus;MIT9211;Prochlorococcus marinus MIT9211;26.12
Prochlorococcus;Prochlorococcus marinus;MIT9303;Prochlorococcus marinus MIT9303;31.65
Prochlorococcus;Prochlorococcus marinus;MIT9313;Prochlorococcus marinus MIT9313;30.52
Synechococcus;Synechococcus;WH7803 (DC2);Synechococcus WH7803 (DC2);14.46
Synechococcus;Synechococcus;ROS04;Synechococcus ROS04;55.44
Synechococcus;Synechococcus;MAX01;Synechococcus MAX01;22.78
Synechococcus;Synechococcus;WH8012;Synechococcus WH8012;16.31
Synechococcus;Synechococcus;WH8103;Synechococcus WH8103;16.63
Synechocystis;Synechocystis;PCC 6803;Synechocystis PCC 6803;6.6
Synechococcus;Synechococcus elongatus;PCC 7942;Synechococcus elongatus PCC 7942;4.9
Synechococcus;Synechococcus elongatus;PCC 7002;Synechococcus elongatus PCC 7002;3.8
Synechococcus;Synechococcus elongatus;UTEX 2973;Synechococcus elongatus UTEX 2973;2.1
Synechococcus;Synechococcus elongatus;PCC 6301;Synechococcus elongatus PCC 6301;5.4
Synechococcus;Synechococcus;CCMP 839;Synechococcus CCMP 839;24.68
Synechococcus;Synechococcus;WH6501;Synechococcus WH6501;30.24
