pasteur_genus;pasteur_species;pasteur_strain;pasteur_speciesStrain;pasteur_typeStrain;pasteur_cultureNo;pasteur_growthTemp;pasteur_ref;pasteur_genes;pasteur_source;pasteur_oxygen;pasteur_medium
Abiotrophia;Abiotrophia defectiva;;Abiotrophia defectiva;;;37;Int. J. Syst. Bacteriol., 1989, 39, 290|Int. J. Syst. Bacteriol., 1991, 41, 483.|Int. J. Syst. Bacteriol., 1989, 39, 290|Int. J. Syst. Bacteriol., 1991, 41, 483|J. Clin. Microbiol., 1995, 33, 1584.|Int. J. Syst. Bacteriol., 1989, 39, 290|Int. J. Syst. Bacteriol., 1991, 41, 483.;;;;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=85
Abiotrophia;Abiotrophia defectiva;ATCC 49176;Abiotrophia defectiva ATCC 49176;yes;ATCC 49176|CCUG 27639;37;Int. J. Syst. Bacteriol., 1989, 39, 290|Int. J. Syst. Bacteriol., 1991, 41, 483|Int. J. Syst. Bacteriol., 1995, 45, 798|Int. J. Syst. Bacteriol., 1996, 46, 364|J. Clin. Microbiol., 1995, 33, 1584.;;Human, blood;;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=27
Abiotrophia;Abiotrophia defectiva;ATCC 700209;Abiotrophia defectiva ATCC 700209;;ATCC 700209;37;Int. J. Syst. Bacteriol., 1989, 39, 290|Int. J. Syst. Bacteriol., 1991, 41, 483|J. Clin. Microbiol., 1995, 33, 1584.;;;;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=85
Acaricomes;Acaricomes phytoseiuli;;Acaricomes phytoseiuli;yes;CCUG 49701|DSM 14247;25;Int. J. Syst. Evol. Microbiol., 2006, 56, 465-469|Int. J. Syst. Evol. Microbiol., 2006, 56, 929-930.;;Predatory mite, Phytoseiulus persimilis;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=10
Acetobacter;Acetobacter aceti;;Acetobacter aceti;;;30;;;Vinegar acidifier;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter aceti;aceti;Acetobacter aceti aceti;yes;ATCC 15973|CCUG 18122|DSM 3508|LMG 1261|NCIMB 8621;30;Int. J. Syst. Bacteriol., 1980, 30, 225|Cellule, 1950, 53, 287|Int. J. Syst. Evol. Microbiol., 2008, 58, 1975.;;Alcohol vinegar;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter aceti;IAM 1802;Acetobacter aceti aceti IAM 1802;;IAM 1802|IFO 3281;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter cerevisiae;;Acetobacter cerevisiae;yes;NCIMB 8894|LMG 1625|DSM 14362|ATCC 23765;30;Int. J. Syst. Evol. Microbiol., 2002, 52, 1551-1558|Int. J. Syst. Evol. Microbiol., 2003, 53, 3-5.;;Beer;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=314
Acetobacter;Acetobacter cibinongensis;;Acetobacter cibinongensis;yes;JCM 11196|NRIC 0482|IFO 16605;30;J. Gen. Appl. Microbiol., 2001, 47, 119-131|Int. J. Syst. Evol. Microbiol., 2002, 52, 3-4.;;Mountain soursop;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Acetobacter;Acetobacter malorum;;Acetobacter malorum;yes;DSM 14337|LMG 1746;30;Int. J. Syst. Evol. Microbiol., 2002, 52, 1551-1558|Int. J. Syst. Evol. Microbiol., 2003, 53, 3-5.;;Rotting apple;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Acetobacter;Acetobacter oeni;;Acetobacter oeni;yes;CECT 5830|LMG 21952;25;Int. J. Syst. Evol. Microbiol., 2006, 56, 21-24|Int. J. Syst. Evol. Microbiol., 2006, 56, 679-680.;;Red wine;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Acetobacter;Acetobacter orientalis;;Acetobacter orientalis;yes;JCM 11195|IFO 16606|NRIC 0481;30;J. Gen. Appl. Microbiol., 2001, 47, 119-131|Int. J. Syst. Evol. Microbiol., 2002, 52, 3-4.;;Canna flower;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Acetobacter;Acetobacter pasteurianus;ATCC 7839;Acetobacter pasteurianus ATCC 7839;;ATCC 7839|CCM 2374|IAM 1825|IFO 3191|IMET 10599|LMG 1606|NCIMB 7214;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pasteurianus;DSM 2324;Acetobacter pasteurianus DSM 2324;;ATCC 6438|CCM 2363|DSM 2324|IAM 1803|IFO 3170|IMET 10613|NCTC 2224|NCIMB 2224;30;;;Vinegar;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pasteurianus;IAM 1804;Acetobacter pasteurianus IAM 1804;;IAM 1804;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pasteurianus;IAM 1808;Acetobacter pasteurianus IAM 1808;;IAM 1808|IFO 3188;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pasteurianus;IAM 1811;Acetobacter pasteurianus IAM 1811;;IAM 1811|IFO 3299;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pasteurianus;IAM 1826;Acetobacter pasteurianus IAM 1826;;IAM 1826;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pasteurianus;pasteurianus;Acetobacter pasteurianus pasteurianus;yes;ATCC 33445|CCUG 18125|DSM 3509|LMG 1262|IMET 10733|NCIMB 12228;30;Int. J. Syst. Bacteriol., 1980, 30, 239|Int. J. Syst. Evol. Microbiol., 2008, 58, 1975.;;Beer;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1
Acetobacter;Acetobacter pomorum;;Acetobacter pomorum;yes;DSM 11825;30;Int. J. Syst. Bacteriol., 1998, 48, 940|J. Biotech., 1998, 60, 195|System. Appl. Microbiol., 1997, 20, 481.;;Apple vinegar;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=289
Acetobacter;Acetobacter syzygii;;Acetobacter syzygii;yes;JCM 11197|IFO 16604|NRIC 0483;30;J. Gen. Appl. Microbiol., 2001, 47, 119-131|Int. J. Syst. Evol. Microbiol., 2002, 52, 3-4.;;Fruit of Malay rose apple;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=314
Acholeplasma;Acholeplasma laidlawii;;Acholeplasma laidlawii;;ATCC 23217;37;Proc. R. Soc. Lond. Ser. B Biol. Sci., 1936, 120, 292|J. Hyg., 1940, 40, 204.;;Sewage;;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=88
Acholeplasma;Acholeplasma laidlawii;ATCC 23206;Acholeplasma laidlawii ATCC 23206;yes;ATCC 23206|NCTC 10116;37;Int. J. Syst. Bacteriol., 1966, 16, 82|Int. J. Syst. Bacteriol., 1980, 30, 240|Int. J. Syst. Bacteriol., 1973, 23, 58|Int. Bull. Bacteriol. Nomen. Taxon., 1955, 5, 91|J. Gen . Microbiol., 1956, 14, 205|J. Gen. Microbiol., 1970, 14, 197|J. Gen. Microbiol., 1970, 62, 1|Proc. R. Soc. Lond. Ser. B Biol. Sci., 1936, 120, 292|J. Hyg., 1940, 40, 204|Bact. Rev., 1941, 5, 1.;;Sewage;;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=88
Acholeplasma;Acholeplasma vituli;;Acholeplasma vituli;yes;ATCC 700667;37;Int. J. Syst. Evol. Microbiol., 2000, 50, 1125-1131|Int. J. Syst. Evol. Microbiol., 2000, 50, 1419-1420.;;Foetal bovine serum and cell cultures;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=460
Achromobacter;Achromobacter sp.;;Achromobacter sp.;;;30;Int. J. Syst. Bacteriol., 1986, 36, 282|Ann. Inst. Pasteur,1981, 132B, 337| Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter aegrifaciens;;Achromobacter aegrifaciens;yes;LMG 26852|CCUG 62438;30;Int. J. Syst. Evol. Microbiol., 2014, 64, 1-5.;;Human, sputum;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter animicus;;Achromobacter animicus;yes;CCUG 61966|LMG 26690:AU 15230|R-46662;30;System. Appl. Microbiol., 2013, 36, 1-10.;;Human, sputum, non cystic fibrosis patient;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter dolens;;Achromobacter dolens;yes;LMG 26840|CCUG 62421;;Int. J. Syst. Evol. Microbiol., 2014, 64, 1-5.;;Human, sputum;;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter insolitus;;Achromobacter insolitus;;;30;;;Human, nodule;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter insolitus;CCUG 47057;Achromobacter insolitus CCUG 47057;yes;CCUG 47057|API 201-3-84|Gilardi 3038|LMG 6003;37;Int. J. Syst. Evol. Microbiol., 2003, 53, 1818-1824|Int. J. Syst. Evol. Microbiol., 2004, 54, 309-311.;;Human, wound;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter insuavis;;Achromobacter insuavis;;;37;Antimicrob. Agents Chem., 2011, 55, 4912-4914|System. Appl. Microbiol., 2013, 36, 474-472|System. Appl. Microbiol., 2013, 36, 1-10|J. Clin. Microbiol., 2012, 50(9), 3010-3015|Syst. Appl. Microbiol., 2013, 36, 474-482.;;Human, ear;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter insuavis;LMG 26845;Achromobacter insuavis LMG 26845;yes;LMG 26845|CCUG 62426;30;Int. J. Syst. Evol. Microbiol., 2014, 64, 1-5.;;Human, sputum;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter insulatus;;Achromobacter insulatus;;;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
