patric_taxID;patric_genus;patric_species;patric_strain;patric_speciesStrain;patric_gram;patric_oxygen
592010;Abiotrophia;Abiotrophia defectiva;ATCC 49176;Abiotrophia defectiva ATCC 49176;positive;facultative
1120917;Abiotrophia;Acaricomes phytoseiuli;DSM 14247;Acaricomes phytoseiuli DSM 14247;positive;aerobic
329726;Acaricomes;Acaryochloris marina;MBIC11017;Acaryochloris marina MBIC11017;;aerobic
310037;Acaryochloris;Acaryochloris sp.;CCMEE 5410;Acaryochloris sp. CCMEE 5410;;aerobic
509191;Acaryochloris;Acetivibrio cellulolyticus;CD2;Acetivibrio cellulolyticus CD2;negative;anaerobic
663932;Acetivibrio;Acetobacter aceti;ATCC 23746;Acetobacter aceti ATCC 23746;negative;aerobic
1120919;Acetobacter;Acetobacter nitrogenifigens;DSM 23921;Acetobacter nitrogenifigens DSM 23921;negative;
634452;Acetobacter;Acetobacter pasteurianus;IFO 3283-01;Acetobacter pasteurianus IFO 3283-01;negative;aerobic
634458;Acetobacter;Acetobacter pasteurianus;IFO 3283-01-42C;Acetobacter pasteurianus IFO 3283-01-42C;negative;aerobic
634453;Acetobacter;Acetobacter pasteurianus;IFO 3283-03;Acetobacter pasteurianus IFO 3283-03;negative;aerobic
634454;Acetobacter;Acetobacter pasteurianus;IFO 3283-07;Acetobacter pasteurianus IFO 3283-07;negative;aerobic
634459;Acetobacter;Acetobacter pasteurianus;IFO 3283-12;Acetobacter pasteurianus IFO 3283-12;negative;aerobic
634455;Acetobacter;Acetobacter pasteurianus;IFO 3283-22;Acetobacter pasteurianus IFO 3283-22;negative;aerobic
634456;Acetobacter;Acetobacter pasteurianus;IFO 3283-26;Acetobacter pasteurianus IFO 3283-26;negative;aerobic
634457;Acetobacter;Acetobacter pasteurianus;IFO 3283-32;Acetobacter pasteurianus IFO 3283-32;negative;aerobic
749388;Acetobacter;Acetobacter tropicalis;NBRC 101654;Acetobacter tropicalis NBRC 101654;negative;aerobic
574087;Acetobacter;Acetohalobium arabaticum;DSM 5501;Acetohalobium arabaticum DSM 5501;;anaerobic
1278304;Acetohalobium;Acholeplasma granularum;ATCC 19168;Acholeplasma granularum ATCC 19168;negative;
441768;Acholeplasma;Acholeplasma laidlawii;PG-8A;Acholeplasma laidlawii PG-8A;;facultative
1278299;Acholeplasma;Acholeplasma multilocale;ATCC 49900;Acholeplasma multilocale ATCC 49900;negative;
742159;Acholeplasma;Achromobacter piechaudii;ATCC 43553;Achromobacter piechaudii ATCC 43553;negative;aerobic
1156919;Achromobacter;Achromobacter piechaudii;HLE;Achromobacter piechaudii HLE;negative;aerobic
762376;Achromobacter;Achromobacter xylosoxidans;A8;Achromobacter xylosoxidans A8;negative;aerobic
562971;Achromobacter;Achromobacter xylosoxidans;C54;Achromobacter xylosoxidans C54;negative;aerobic
591001;Achromobacter;Acidaminococcus fermentans;DSM 20731;Acidaminococcus fermentans DSM 20731;negative;anaerobic
1120921;Acidaminococcus;Acidaminococcus intestini;DSM 21505;Acidaminococcus intestini DSM 21505;negative;
563191;Acidaminococcus;Acidaminococcus sp.;D21;Acidaminococcus sp. D21;positive;anaerobic
525909;Acidaminococcus;Acidimicrobium ferrooxidans;DSM 10331;Acidimicrobium ferrooxidans DSM 10331;positive;anaerobic
349163;Acidimicrobium;Acidiphilium cryptum;JF-5;Acidiphilium cryptum JF-5;negative;aerobic
637389;Acidiphilium;Acidithiobacillus caldus;ATCC 51756;Acidithiobacillus caldus ATCC 51756;negative;
243159;Acidithiobacillus;Acidithiobacillus ferrooxidans;ATCC 23270;Acidithiobacillus ferrooxidans ATCC 23270;negative;facultative
380394;Acidithiobacillus;Acidithiobacillus ferrooxidans;ATCC 53993;Acidithiobacillus ferrooxidans ATCC 53993;negative;aerobic
1432062;Acidithiobacillus;Acidithiobacillus thiooxidans;A01;Acidithiobacillus thiooxidans A01;negative;aerobic
240015;Acidithiobacillus;Acidobacterium capsulatum;ATCC 51196;Acidobacterium capsulatum ATCC 51196;negative;aerobic
682795;Acidobacterium;Acidobacterium sp.;MP5ACTX8;Acidobacterium sp. MP5ACTX8;negative;aerobic
1198114;Acidobacterium;Acidobacterium sp.;MP5ACTX9;Acidobacterium sp. MP5ACTX9;negative;aerobic
1214225;Acidobacterium;Acidocella sp.;MX-AZ02;Acidocella sp. MX-AZ02;negative;
351607;Acidocella;Acidothermus cellulolyticus;11B;Acidothermus cellulolyticus 11B;positive;aerobic
643561;Acidothermus;Acidovorax avenae;avenae ATCC 19860;Acidovorax avenae subsp. avenae ATCC 19860;negative;aerobic
397945;Acidovorax;Acidovorax citrulli;AAC00-1;Acidovorax citrulli AAC00-1;negative;aerobic
535289;Acidovorax;Acidovorax ebreus;TPSY;Acidovorax ebreus TPSY;negative;facultative
999394;Acidovorax;Acidovorax radicis;N35v;Acidovorax radicis N35v;;aerobic
232721;Acidovorax;Acidovorax sp.;JS42;Acidovorax sp. JS42;negative;aerobic
358220;Acidovorax;Acidovorax sp.;KKS102;Acidovorax sp. KKS102;negative;
509173;Acidovorax;Acinetobacter baumannii;;Acinetobacter baumannii;negative;aerobic
696749;Acinetobacter;Acinetobacter baumannii;1656-2;Acinetobacter baumannii 1656-2;negative;
886889;Acinetobacter;Acinetobacter baumannii;3909;Acinetobacter baumannii 3909;;anaerobic
886888;Acinetobacter;Acinetobacter baumannii;3990;Acinetobacter baumannii 3990;;anaerobic
886890;Acinetobacter;Acinetobacter baumannii;4190;Acinetobacter baumannii 4190;;anaerobic
1216295;Acinetobacter;Acinetobacter baumannii;53264;Acinetobacter baumannii 53264;negative;
592014;Acinetobacter;Acinetobacter baumannii;6013113;Acinetobacter baumannii 6013113;negative;aerobic
525243;Acinetobacter;Acinetobacter baumannii;6013150;Acinetobacter baumannii 6013150;negative;aerobic
525242;Acinetobacter;Acinetobacter baumannii;6014059;Acinetobacter baumannii 6014059;negative;aerobic
480119;Acinetobacter;Acinetobacter baumannii;AB0057;Acinetobacter baumannii AB0057;negative;aerobic
710094;Acinetobacter;Acinetobacter baumannii;AB056;Acinetobacter baumannii AB056;negative;
710095;Acinetobacter;Acinetobacter baumannii;AB058;Acinetobacter baumannii AB058;negative;
710096;Acinetobacter;Acinetobacter baumannii;AB059;Acinetobacter baumannii AB059;negative;
1222031;Acinetobacter;Acinetobacter baumannii;AB1H8;Acinetobacter baumannii AB1H8;negative;
886886;Acinetobacter;Acinetobacter baumannii;AB210;Acinetobacter baumannii AB210;;anaerobic
557600;Acinetobacter;Acinetobacter baumannii;AB307-0294;Acinetobacter baumannii AB307-0294;negative;aerobic
1222033;Acinetobacter;Acinetobacter baumannii;AB405E4;Acinetobacter baumannii AB405E4;negative;
1222032;Acinetobacter;Acinetobacter baumannii;AB4A3;Acinetobacter baumannii AB4A3;negative;
557601;Acinetobacter;Acinetobacter baumannii;AB900;Acinetobacter baumannii AB900;negative;aerobic
1346792;Acinetobacter;Acinetobacter baumannii;AB-HKU3-08;Acinetobacter baumannii AB-HKU3-08;negative;
1346793;Acinetobacter;Acinetobacter baumannii;AB-HKU3-10;Acinetobacter baumannii AB-HKU3-10;negative;
992402;Acinetobacter;Acinetobacter baumannii;ABNIH1;Acinetobacter baumannii ABNIH1;;anaerobic
992403;Acinetobacter;Acinetobacter baumannii;ABNIH2;Acinetobacter baumannii ABNIH2;;anaerobic
992404;Acinetobacter;Acinetobacter baumannii;ABNIH3;Acinetobacter baumannii ABNIH3;;anaerobic
992405;Acinetobacter;Acinetobacter baumannii;ABNIH4;Acinetobacter baumannii ABNIH4;;anaerobic
1224747;Acinetobacter;Acinetobacter baumannii;AC30;Acinetobacter baumannii AC30;negative;
405416;Acinetobacter;Acinetobacter baumannii;ACICU;Acinetobacter baumannii ACICU;negative;aerobic
400667;Acinetobacter;Acinetobacter baumannii;ATCC 17978;Acinetobacter baumannii ATCC 17978;negative;aerobic
575584;Acinetobacter;Acinetobacter baumannii;ATCC 19606;Acinetobacter baumannii ATCC 19606;negative;aerobic
1210907;Acinetobacter;Acinetobacter baumannii;BZICU-2;Acinetobacter baumannii BZICU-2;negative;
945556;Acinetobacter;Acinetobacter baumannii;D1279779;Acinetobacter baumannii D1279779;;anaerobic
1435047;Acinetobacter;Acinetobacter baumannii;MDR_MMC4;Acinetobacter baumannii MDR_MMC4;negative;
497978;Acinetobacter;Acinetobacter baumannii;MDR-ZJ06;Acinetobacter baumannii MDR-ZJ06;negative;aerobic
1434212;Acinetobacter;Acinetobacter baumannii;MRSN 57;Acinetobacter baumannii MRSN 57;negative;
1409926;Acinetobacter;Acinetobacter baumannii;MRSN 58;Acinetobacter baumannii MRSN 58;negative;
1279013;Acinetobacter;Acinetobacter baumannii;PR07;Acinetobacter baumannii PR07;negative;aerobic
509170;Acinetobacter;Acinetobacter baumannii;SDF;Acinetobacter baumannii SDF;negative;aerobic
1349824;Acinetobacter;Acinetobacter baumannii;Perm;Acinetobacter baumannii str. Perm;negative;
1100841;Acinetobacter;Acinetobacter baumannii;TYTH-1;Acinetobacter baumannii TYTH-1;negative;
945555;Acinetobacter;Acinetobacter baumannii;WM99c;Acinetobacter baumannii WM99c;;anaerobic
1120925;Acinetobacter;Acinetobacter bouvetii;DSM 14964 = CIP 107468;Acinetobacter bouvetii DSM 14964 = CIP 107468;negative;
575585;Acinetobacter;Acinetobacter calcoaceticus;RUH2202;Acinetobacter calcoaceticus RUH2202;;aerobic
1235833;Acinetobacter;Acinetobacter calcoaceticus;anitratus XM1570;Acinetobacter calcoaceticus subsp. anitratus XM1570;negative;
1330037;Acinetobacter;Acinetobacter gerneri;MTCC 9824;Acinetobacter gerneri MTCC 9824;negative;
1330038;Acinetobacter;Acinetobacter guillouiae;MSP4-18;Acinetobacter guillouiae MSP4-18;negative;
1330039;Acinetobacter;Acinetobacter gyllenbergii;MTCC 11365;Acinetobacter gyllenbergii MTCC 11365;negative;
707232;Acinetobacter;Acinetobacter haemolyticus;ATCC 19194;Acinetobacter haemolyticus ATCC 19194;negative;aerobic
1331660;Acinetobacter;Acinetobacter haemolyticus;MTCC 9819;Acinetobacter haemolyticus MTCC 9819;negative;
575586;Acinetobacter;Acinetobacter johnsonii;SH046;Acinetobacter johnsonii SH046;;
1330047;Acinetobacter;Acinetobacter junii;MTCC 11364;Acinetobacter junii MTCC 11364;negative;
575587;Acinetobacter;Acinetobacter junii;SH205;Acinetobacter junii SH205;negative;
575588;Acinetobacter;Acinetobacter lwoffii;SH145;Acinetobacter lwoffii SH145;negative;aerobic
1046625;Acinetobacter;Acinetobacter lwoffii;WJ10621;Acinetobacter lwoffii WJ10621;;anaerobic
1343071;Acinetobacter;Acinetobacter nosocomialis;M2;Acinetobacter nosocomialis M2;negative;
1086014;Acinetobacter;Acinetobacter pittii;D499;Acinetobacter pittii D499;;anaerobic
981334;Acinetobacter;Acinetobacter radioresistens;DSM 6976 = NBRC 102413 = CIP 103788;Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788;negative;aerobic
575589;Acinetobacter;Acinetobacter radioresistens;SH164;Acinetobacter radioresistens SH164;negative;aerobic
596318;Acinetobacter;Acinetobacter radioresistens;SK82;Acinetobacter radioresistens SK82;negative;aerobic
62977;Acinetobacter;Acinetobacter sp.;ADP1;Acinetobacter sp. ADP1;negative;aerobic
436717;Acinetobacter;Acinetobacter sp.;DR1;Acinetobacter sp. DR1;negative;aerobic
651305;Acinetobacter;Acinetobacter sp.;GG2;Acinetobacter sp. GG2;negative;
575564;Acinetobacter;Acinetobacter sp.;RUH2624;Acinetobacter sp. RUH2624;negative;anaerobic
575565;Acinetobacter;Acinetobacter sp.;SH024;Acinetobacter sp. SH024;negative;anaerobic
1120928;Acinetobacter;Acinetobacter tjernbergiae;DSM 14971 = CIP 107465;Acinetobacter tjernbergiae DSM 14971 = CIP 107465;negative;aerobic
1120930;Acinetobacter;Actinoalloteichus cyanogriseus;DSM 43889;Actinoalloteichus cyanogriseus DSM 43889;positive;aerobic
1120931;Actinoalloteichus;Actinobacillus capsulatus;DSM 19761;Actinobacillus capsulatus DSM 19761;negative;
591023;Actinobacillus;Actinobacillus minor;202;Actinobacillus minor 202;negative;
637911;Actinobacillus;Actinobacillus minor;NM305;Actinobacillus minor NM305;negative;
1224142;Actinobacillus;Actinobacillus pleuropneumoniae;S8;Actinobacillus pleuropneumoniae S8;negative;facultative
228399;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 1 4074;Actinobacillus pleuropneumoniae serovar 1 str. 4074;negative;facultative
754259;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 10 D13039;Actinobacillus pleuropneumoniae serovar 10 str. D13039;negative;facultative
754260;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 11 56153;Actinobacillus pleuropneumoniae serovar 11 str. 56153;negative;facultative
754261;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 12 1096;Actinobacillus pleuropneumoniae serovar 12 str. 1096;negative;facultative
754262;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 13 N273;Actinobacillus pleuropneumoniae serovar 13 str. N273;negative;facultative
754254;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 2 4226;Actinobacillus pleuropneumoniae serovar 2 str. 4226;negative;facultative
871925;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 2 S1536;Actinobacillus pleuropneumoniae serovar 2 str. S1536;negative;facultative
434271;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 3 JL03;Actinobacillus pleuropneumoniae serovar 3 str. JL03;negative;facultative
754255;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 4 M62;Actinobacillus pleuropneumoniae serovar 4 str. M62;negative;anaerobic
416269;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 5b L20;Actinobacillus pleuropneumoniae serovar 5b str. L20;negative;facultative
754256;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 6 Femo;Actinobacillus pleuropneumoniae serovar 6 str. Femo;negative;facultative
537457;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 7 AP76;Actinobacillus pleuropneumoniae serovar 7 str. AP76;negative;facultative
754258;Actinobacillus;Actinobacillus pleuropneumoniae;serovar 9 CVJ13261;Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261;negative;facultative
