protraits_taxID;protraits_genus;protraits_species;protraits_strain;protraits_speciesStrain;protraits_misclassified;protraits_gram;protraits_substrate;protraits_source
85683;Bacillus;Bacillus selenitireducens;;Bacillus selenitireducens;yes;positive;d-malicAcid|esteraseLipaseC8|glycerol|α-ketoglutaricAcid|glucose;freeLiving
384638;Bacteroides;Bacteroides pectinophilus;;Bacteroides pectinophilus;yes;;;digestiveSystem|fecal
11;Cellvibrio;Cellvibrio gilvus;;Cellvibrio gilvus;yes;positive;cellobiose|β-glucosidase|l-arabinose|salicin;freeLiving
1490;Clostridium;Clostridium bifermentans;;Clostridium bifermentans;yes;;;
208479;Clostridium;Clostridium bolteae;;Clostridium bolteae;yes;;;largeIntestine|fecal
1521;Clostridium;Clostridium cellulolyticum;;Clostridium cellulolyticum;yes;;;freeLiving
358743;Clostridium;Clostridium citroniae;;Clostridium citroniae;yes;;;fecal
288965;Clostridium;Clostridium clariflavum;;Clostridium clariflavum;yes;;;freeLiving
1531;Clostridium;Clostridium clostridioforme;;Clostridium clostridioforme;yes;;;digestiveSystem|fecal
154046;Clostridium;Clostridium hathewayi;;Clostridium hathewayi;yes;;;digestiveSystem|fecal
1522;Clostridium;Clostridium innocuum;;Clostridium innocuum;yes;;;host|fecal
1535;Clostridium;Clostridium leptum;;Clostridium leptum;yes;;;
81424;Clostridium;Clostridium methoxybenzovorans;;Clostridium methoxybenzovorans;yes;;;fecal
29362;Clostridium;Clostridium papyrosolvens;;Clostridium papyrosolvens;yes;;;
1524;Clostridium;Clostridium piliforme;;Clostridium piliforme;yes;;;
84030;Clostridium;Clostridium saccharolyticum;;Clostridium saccharolyticum;yes;;;freeLiving|fecal
29347;Clostridium;Clostridium scindens;;Clostridium scindens;yes;;;host|digestiveSystem|fecal
1505;Clostridium;Clostridium sordellii;;Clostridium sordellii;yes;;;host
29348;Clostridium;Clostridium spiroforme;;Clostridium spiroforme;yes;;;host
1549;Clostridium;Clostridium sporosphaeroides;;Clostridium sporosphaeroides;yes;;;
1510;Clostridium;Clostridium stercorarium;;Clostridium stercorarium;yes;;;freeLiving
1511;Clostridium;Clostridium sticklandii;;Clostridium sticklandii;yes;;;
1512;Clostridium;Clostridium symbiosum;;Clostridium symbiosum;yes;;;digestiveSystem|host|fecal
29322;Eubacterium;Eubacterium cellulosolvens;;Eubacterium cellulosolvens;yes;;;
31971;Eubacterium;Eubacterium dolichum;;Eubacterium dolichum;yes;;;host|fecal
39485;Eubacterium;Eubacterium eligens;;Eubacterium eligens;yes;;β-glucosidase;host|digestiveSystem|intestinalTract|fecal
56774;Eubacterium;Eubacterium infirmum;;Eubacterium infirmum;yes;;;
39492;Eubacterium;Eubacterium siraeum;;Eubacterium siraeum;yes;;;
39498;Eubacterium;Eubacterium yurii;;Eubacterium yurii;yes;;;
157673;Mannheimia;Mannheimia succiniciproducens;;Mannheimia succiniciproducens;yes;negative;;host|foregut|rumen
33038;Ruminococcus;Ruminococcus gnavus;;Ruminococcus gnavus;yes;;;host|fecal
40520;Ruminococcus;Ruminococcus obeum;;Ruminococcus obeum;yes;;;fecal
33039;Ruminococcus;Ruminococcus torques;;Ruminococcus torques;yes;;;host|digestiveSystem|fecal
46125;Abiotrophia;Abiotrophia defectiva;;Abiotrophia defectiva;no;;;host
155978;Acaryochloris;Acaryochloris marina;;Acaryochloris marina;no;negative;;freeLiving
2382;Acetitomaculum;Acetitomaculum ruminis;;Acetitomaculum ruminis;no;;;
35830;Acetivibrio;Acetivibrio cellulolyticus;;Acetivibrio cellulolyticus;no;;;
435;Acetobacter;Acetobacter aceti;;Acetobacter aceti;no;;;
285268;Acetobacter;Acetobacter nitrogenifigens;;Acetobacter nitrogenifigens;no;negative;;
438;Acetobacter;Acetobacter pasteurianus;;Acetobacter pasteurianus;no;negative;;
65959;Acetobacter;Acetobacter pomorum;;Acetobacter pomorum;no;negative;;
33952;Acetobacterium;Acetobacterium woodii;;Acetobacterium woodii;no;;;freeLiving
28187;Acetohalobium;Acetohalobium arabaticum;;Acetohalobium arabaticum;no;;esteraseLipaseC8;freeLiving
29552;Acholeplasma;Acholeplasma axanthum;;Acholeplasma axanthum;no;;dextrin;
61635;Acholeplasma;Acholeplasma brassicae;;Acholeplasma brassicae;no;;;
2148;Acholeplasma;Acholeplasma laidlawii;;Acholeplasma laidlawii;no;;dextrin;
38986;Acholeplasma;Acholeplasma palmae;;Acholeplasma palmae;no;;;host
1147684;Achromobacter;Achromobacter arsenitoxydans;;Achromobacter arsenitoxydans;no;negative;glutamate|α-ketoglutaricAcid|alanine|propionate|aspartate|l-pyroglutamicAcid|mucicAcid;
1287735;Achromobacter;Achromobacter insuavis;;Achromobacter insuavis;no;negative;d-malicAcid|glutamate|α-ketoglutaricAcid|alanine|d-saccharate|propionate|aspartate|l-pyroglutamicAcid|mucicAcid;
