strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;Escherichia coli;20215;;;MINERAL MEDIUM M9 for E. coli JM strains (DSMZ Medium 382);1141;37;1141;;;;;;;L-arabinose;68368;acetoin;0;68368;acetoin;68368;cytochrome oxidase;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;amygdalin;68368;indole;1;68368;indole;68368;gelatinase;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;sucrose;68368;hydrogen sulfide;0;68368;;;tryptophan deaminase;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;L-rhamnose;68368;;;;;;urease;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;sorbitol;68368;;;;;;ornithine decarboxylase;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;myo-inositol;68368;;;;;;lysine decarboxylase;+;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;D-mannitol;68368;;;;;;arginine dihydrolase;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;D-glucose;68368;;;;;;beta-galactosidase;-;68368;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;gelatin;68368;;;;;;;;;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;tryptophan;68368;;;;;;;;;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;urea;68368;;;;;;;;;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;citrate;68368;;;;;;;;;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;ornithine;68368;;;;;;;;;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;lysine;68368;;;;;;;;;;;;
4437;DSM 2829, ATCC 39403, NCIB 12044;Escherichia;Escherichia coli;K12 JM103, JM103;0;;;;;;;;;;;;;;;arginine;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;Escherichia coli;20215;;;SUPPLEMENTED (ARGININE) M9 MEDIUM (DSMZ Medium 450);1766;37;1766;;;;;;;L-arabinose;68368;acetoin;0;68368;acetoin;68368;gelatinase;-;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;LB (Luria-Bertani) MEDIUM (DSMZ Medium 381);1766;;;;;;;;;amygdalin;68368;indole;1;68368;indole;68368;tryptophan deaminase;-;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;melibiose;68368;hydrogen sulfide;0;68368;;;urease;-;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;sucrose;68368;;;;;;ornithine decarboxylase;-;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;L-rhamnose;68368;;;;;;lysine decarboxylase;+;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;sorbitol;68368;;;;;;arginine dihydrolase;-;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;myo-inositol;68368;;;;;;beta-galactosidase;+;68368;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;D-mannitol;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;D-glucose;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;gelatin;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;tryptophan;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;urea;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;citrate;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;ornithine;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;lysine;68368;;;;;;;;;;;;
4505;DSM 4858, CGSC 4302;Escherichia;Escherichia coli;K12 KLF48/KL159, KLF48/KL159;0;;;;;;;;;;;;;;;arginine;68368;;;;;;;;;;;;
4438;DSM 2607, NCIB 8743;Escherichia;Escherichia coli;159-2;0;Escherichia coli;20215;;;NUTRIENT AGAR (DSMZ Medium 1);1153;37;1153;penicillin acylase ;1153;;;;;L-arabinose;68368;acetoin;0;68368;acetoin;68368;cytochrome oxidase;-;68368;;;;
4438;DSM 2607, NCIB 8743;Escherichia;Escherichia coli;159-2;0;;;;;;;;;penicillin amidase ;1153;;;;;amygdalin;68368;indole;1;68368;indole;68368;gelatinase;-;68368;;;;
