strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
161890;JCM 16914, KACC 14932;Halomonas;Halomonas cibimaris;;1;Halomonas cibimaris;20215;;;;;30;67770;;;;;;;;;;;;;;;;;Jeotgal, a traditional Korean fermented seafood;67770;;
161891;JCM 16915;Halomonas;Halomonas cibimaris;;0;Halomonas cibimaris;20215;;;;;30;67770;;;;;;;;;;;;;;;;;Jeotgal, a traditional Korean fermented seafood;67770;;
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;Halomonas cupida;20215;;;BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514);1746;25;1746;;;;;;;;;;;;;;;;;seawater;1746;GCA_900142755;66792
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;;;;;MARINE AGAR (DSMZ Medium 123);1746;26;1746;;;;;;;;;;;;;;;;;Seawater enrichment with allantoin;46437;GCA_007991155;66792
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;;;;;Marine agar (MA);34123;30;34123;;;;;;;;;;;;;;;;;;;44933.4;66792
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;;;;;;;26;46437;;;;;;;;;;;;;;;;;;;44933.8;66792
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;;;;;;;25;67770;;;;;;;;;;;;;;;;;;;2599185207;66792
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;BJXU00000000;67770
6015;DSM 4740, ATCC 27124, CCUG 16075, LMG 3448, CIP 74.06, JCM 20632, CECT 5001, CIP 103199, IAM 12552, NBRC 102219, NCIMB 1978;Halomonas;Halomonas cupida;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;FRCA00000000;67770
138948;CIP 74.6;Halomonas;Halomonas cupida;;0;Halomonas cupida;20215;;;Marine agar (MA);40948;25;40948;;;;;;;;;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;Halomonas daqingensis;20215;;;;;okt.50;32595;;;aerobe;32595;;;dextrin;32595;indole;1;32595;indole;32595;catalase;+;32595;soil;32595;GCA_900108215;66792
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;30;32595;;;;;;;galactose;32595;;;;;;cytochrome oxidase;+;32595;;;419596.3;66792
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;gluconate;32595;;;;;;urease;+;32595;;;2617270887;66792
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;glucose;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;malate;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;malonate;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;maltose;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;mannitol;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;mannose;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;sorbitol;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;succinate;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;sucrose;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;trehalose;32595;;;;;;;;;;;;
134359;CGMCC 1.6443, LMG 23896;Halomonas;Halomonas daqingensis;DQD2-30;1;;;;;;;;;;;;;;;nitrate;32595;;;;;;;;;;;;
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;Halomonas denitrificans;20215;;;BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514);7266;28;7266;;;aerobe;31987;;;3-hydroxybutyrate;31987;;;;;;catalase;+;31987;solar saltern;7266;GCA_003056305;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;R2A MEDIUM (DSMZ Medium 830);7266;mai.50;31987;;;;;;;acetate;31987;;;;;;cytochrome oxidase;+;31987;;;GCA_019448235;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;Marine agar (MA);36923;25-35;31987;;;;;;;alanine;31987;;;;;;;;;;;GCA_019800895;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;30;36923;;;;;;;citrate;31987;;;;;;;;;;;GCA_020171695;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;lactate;31987;;;;;;;;;;;GCA_019802095;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;malate;31987;;;;;;;;;;;GCA_019801765;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;malonate;31987;;;;;;;;;;;GCA_020171385;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;proline;31987;;;;;;;;;;;370769.17;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;propionate;31987;;;;;;;;;;;370769.18;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;serine;31987;;;;;;;;;;;370769.2;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;valerate;31987;;;;;;;;;;;370769.19;66792
6049;DSM 18045, CIP 109894;Halomonas;Halomonas denitrificans;M29;1;;;;;;;;;;;;;;;nitrate;31987;;;;;;;;;;;370769.4;66792
6028;DSM 9502;Halomonas;Halomonas desiderata;FB 2;1;Halomonas desiderata;20215;;;MEDIUM 514 PLUS ADDITIONAL SALT (DSMZ Medium 514b);3615;28;3615;;;;;;;;;;;;;;;;;sewage treatment plant;3615;52021.4;66792
6028;DSM 9502;Halomonas;Halomonas desiderata;FB 2;1;;;;;BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514);3615;30;32735;;;;;;;;;;;;;;;;;;;;
6028;DSM 9502;Halomonas;Halomonas desiderata;FB 2;1;;;;;HALOMONAS DESIDERATA MEDIUM (DSMZ Medium 762);3615;;;;;;;;;;;;;;;;;;;;;;
6028;DSM 9502;Halomonas;Halomonas desiderata;FB 2;1;;;;;MEDIUM 285 - for Halomonas desiderata;32735;;;;;;;;;;;;;;;;;;;;;;
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;Halomonas elongata;20215;;;BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514);1131;30;1131;;;;;;;;;;;;;;;;;solar salt facility;1131;GCA_000196875;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;HALOMONAS MEDIUM (DSMZ Medium 276);1131;25;34924;;;;;;;;;;;;;;;;;Solar salt facility located on Bonaire;67770;GCA_001678785;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;Marine agar (MA);34924;30;67770;;;;;;;;;;;;;;;;;;;GCA_014926355;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;GCA_003287205;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;GCA_910036375;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;768066.3;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2746.19;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2746.21;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2746.15;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2746.8;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2746.12;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2859086660;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2856170076;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;648028030;66792
6011;DSM 2581, ATCC 33173, IAM 14166, JCM 21044, CCM 3756, CECT 4279, CIP 104264, LMG 9076, NBRC 15536, NCIMB 2198;Halomonas;Halomonas elongata;1H9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;FN869568;67770
154210;CCUG 52759;Halomonas;Halomonas elongata;;0;Halomonas elongata;20215;2 days;59660;;;30-37;59660;;;aerobe;59660;;;;;;;;;;;;;Table-olive fermentation;59660;;
164391;JCM 32858;Halomonas;Halomonas elongata;;0;Halomonas elongata;20215;;;;;35;67770;;;;;;;;;;;;;;;;;Soil sample from Chott el Jerid salt lake;67770;;
164394;JCM 32862;Halomonas;Halomonas elongata;;0;Halomonas elongata;20215;;;;;35;67770;;;;;;;;;;;;;;;;;Soil sample from Kerhennah solar saltern;67770;;
164400;JCM 32868;Halomonas;Halomonas elongata;;0;Halomonas elongata;20215;;;;;35;67770;;;;;;;;;;;;;;;;;Water sample from Sehine Sebkha salt lake;67770;;
5999;DSM 6767, ATCC 33174, NCIMB 2239;Halomonas;Halomonas elongata;1H15;0;Halomonas elongata;20215;;;10% MH MEDIUM (DSMZ Medium 593);2806;37;2806;alkaline phosphatase ;2806;;;;;;;;;;;;;;;saltern;2806;;
5999;DSM 6767, ATCC 33174, NCIMB 2239;Halomonas;Halomonas elongata;1H15;0;;;;;;;;;acid phosphatase ;2806;;;;;;;;;;;;;;;;;;
6012;DSM 3044, ATCC 33174;Halomonas;Halomonas elongata;1H15;0;Halomonas elongata;20215;;;MEDIUM 514 PLUS ADDITIONAL SALT (DSMZ Medium 514b);1283;30;1283;;;;;;;;;;;;;;;;;solar salt facility;1283;;
6012;DSM 3044, ATCC 33174;Halomonas;Halomonas elongata;1H15;0;;;;;HALOMONAS MEDIUM (DSMZ Medium 276);1283;;;;;;;;;;;;;;;;;;;;;;
6013;DSM 6706, ATCC 27042;Halomonas;Halomonas elongata;T-52;0;Halomonas elongata;20215;;;MINERAL MEDIUM (BRUNNER) (DSMZ Medium 457);2780;26;2780;;;;;;;;;;;;;;;;;solar evaporation salt pond;2780;;
6013;DSM 6706, ATCC 27042;Halomonas;Halomonas elongata;T-52;0;;;;;CASO AGAR (MERCK 105458) (DSMZ Medium 220);2780;;;;;;;;;;;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;Halomonas endophytica;20215;3 days;65561;Marine agar (MA);65561;okt.45;65561;;;aerobe;65561;chemoorganotroph;65561;cellulose;65561;acetoin;0;65561;glucose;65561;catalase;+;65561;From storage liquid in the stems of Populus euphratica in xinjiang;67771;GCA_002879615;66792
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;40;65561;;;aerobe;67771;;;carboxymethylcellulose;65561;hydrogen sulfide;1;65561;acetoin;65561;cytochrome oxidase;+;65561;liquid samples from stems of Populus euphratica;65561;2033802.3;66792
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;28;67771;;;;;;;casein;65561;;;;;;alkaline phosphatase;+;65561;;;2859108715;66792
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;citrate;65561;;;;;;esterase (C 4);+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;citrate;65561;;;;;;esterase Lipase (C 8);+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-arabinose;65561;;;;;;lipase (C 14);+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-arabitol;65561;;;;;;leucine arylamidase;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-fructose;65561;;;;;;valine arylamidase;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-fructose;65561;;;;;;cystine arylamidase;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-fucose;65561;;;;;;acid phosphatase;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-galactose;65561;;;;;;naphthol-AS-BI-phosphohydrolase;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-galactose;65561;;;;;;alpha-glucosidase;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-glucose;65561;;;;;;urease;-;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-glucose;65561;;;;;;trypsin;+;65561;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-mannitol;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-mannitol;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-mannose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-mannose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-mannose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-ribose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-ribose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-sorbitol;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-sorbitol;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-tagatose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-tagatose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-tagatose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-xylose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-xylose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;D-xylose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;gelatin;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;glucose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;glucose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-arabinose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-arabinose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-arabinose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-sorbose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-sorbose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-sorbose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;L-tyrosine;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;maltose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;maltose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;maltose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;nitrate;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;nitrate;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;sodium gluconate;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;sodium gluconate;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;starch;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;succinate;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;succinate;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;sucrose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;sucrose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;sucrose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;trehalose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;trehalose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;trehalose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;turanose;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;tween 20;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;tween 40;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;tween 60;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;tween 80;65561;;;;;;;;;;;;
158800;KCTC 52999, MCCC 1K03343;Halomonas;Halomonas endophytica;MC28;1;;;;;;;;;;;;;;;tyrosine;65561;;;;;;;;;;;;
6026;DSM 5720, ATCC 49336;Halomonas;Halomonas eurihalina;F9-6;1;Halomonas eurihalina;20215;;;MH MEDIUM (DSMZ Medium 624);2309;30-35;2309;;;;;;;;;;;;;;;;;saline soil;2309;GCA_008274785;66792
6026;DSM 5720, ATCC 49336;Halomonas;Halomonas eurihalina;F9-6;1;;;;;MEDIUM 318 - for Halomonas eurihalina;39468;30;39468;;;;;;;;;;;;;;;;;;;42566.3;66792
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;Halomonas fontilapidosi;20215;;;;;15-45;29023;;;;;;;ribitol;29023;hydrogen sulfide;1;29023;;;catalase;+;29023;soil;29023;GCA_014192285;66792
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;38.5;29023;;;;;;;arabinose;29023;;;;;;cytochrome oxidase;+;29023;;;616675.3;66792
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;citrate;29023;;;;;;;;;;;2824407391;66792
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;fructose;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;galactose;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;gluconate;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;glucose;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;lactate;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;lactose;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;maltose;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;mannose;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;serine;29023;;;;;;;;;;;;
133446;CECT 7341, LMG 24455;Halomonas;Halomonas fontilapidosi;5CR;1;;;;;;;;;;;;;;;sorbitol;29023;;;;;;;;;;;;
