strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
125458;;Streptomyces;Streptomyces sp.;ST028008(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125381;;Streptomyces;Streptomyces sp.;ST026388(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125459;;Streptomyces;Streptomyces sp.;ST020898(HKI), BI 10195;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125382;;Streptomyces;Streptomyces sp.;ST026433(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125460;;Streptomyces;Streptomyces sp.;ST020900(HKI), BI 10197;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125383;;Streptomyces;Streptomyces sp.;ST026435(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125461;;Streptomyces;Streptomyces sp.;ST020903(HKI), BI 10200;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125384;;Streptomyces;Streptomyces sp.;ST033440(HKI), Caspar007;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125462;;Streptomyces;Streptomyces sp.;ST020904(HKI), BI 10201;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125385;;Streptomyces;Streptomyces sp.;ST026415(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125463;;Streptomyces;Streptomyces sp.;ST020907(HKI), BI 10204;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125386;;Streptomyces;Streptomyces sp.;ST026420(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125464;;Streptomyces;Streptomyces sp.;ST020908(HKI), BI 10205;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125387;;Streptomyces;Streptomyces sp.;ST029731(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125465;;Streptomyces;Streptomyces sp.;ST020922(HKI), BI 10209;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125388;;Streptomyces;Streptomyces sp.;ST026528(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125466;;Streptomyces;Streptomyces sp.;ST020923(HKI), BI 10210;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125389;;Streptomyces;Streptomyces sp.;ST026401(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125416;;Streptomyces;Streptomyces sp.;ST020115(HKI), BI 09693;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125417;;Streptomyces;Streptomyces sp.;ST020091(HKI), BI 09646;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
125418;;Streptomyces;Streptomyces sp.;ST020090(HKI), BI 09645;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
124864;;Streptomyces;Streptomyces sp.;ST022550(HKI), BI 11439;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
