Species;Reference;Type;Growthrate;Size
;;;d-1;um
Anabaena variabilis;Raven 86;Unicell;0.78;3.62
Gloeobacter violacea;Raven 86;Unicell;0.16;1.88
Microcystis aeruginosa;Boumnich et al.;Unicell;0.92;3.73
Microcystis aeruginosa;Böttcher et al.;Unicell;0.27;5.00
Microcystis aeruginosa;Böttcher et al.;Unicell;0.33;5.00
Microcystis aeruginosa;Böttcher et al.;Unicell;1.11;5.00
Microcystis aeruginosa;Colman & Santha;Unicell;0.235;5.02
Microcystis aeruginosa;Genoni et al. 0;Unicell;0.3;5.00
Microcystis aeruginosa;Guanzon & Nakah;Unicell;1.1;5.03
Microcystis aeruginosa;Hesse & Kohl 01;Unicell;0.225;5.00
Microcystis aeruginosa;Hesse & Kohl 01;Unicell;0.288;5.00
Microcystis aeruginosa;Hesse & Kohl 01;Unicell;0.272;5.00
Microcystis aeruginosa;Hesse & Kohl 01;Unicell;0.324;5.00
Microcystis aeruginosa;Hesse & Kohl 01;Unicell;0.251;5.00
Microcystis aeruginosa;Hesse & Kohl 01;Unicell;0.307;5.00
Microcystis aeruginosa;Long et al. 01;Unicell;0.1;5.96
Microcystis aeruginosa;Long et al. 01;Unicell;0.13;5.76
Microcystis aeruginosa;Long et al. 01;Unicell;0.2;5.94
Microcystis aeruginosa;Long et al. 01;Unicell;0.23;5.68
Microcystis aeruginosa;Long et al. 01;Unicell;0.27;5.44
Microcystis aeruginosa;Long et al. 01;Unicell;0.45;4.90
Microcystis aeruginosa;Long et al. 01;Unicell;0.49;5.24
Microcystis aeruginosa;Long et al. 01;Unicell;0.59;5.54
Microcystis aeruginosa;Long et al. 01;Unicell;0.7;3.36
Microcystis aeruginosa;Long et al. 01;Unicell;0.96;3.32
Microcystis aeruginosa;Long et al. 01;Unicell;1.08;4.22
Microcystis aeruginosa;Lukac & Aegerte;Unicell;1.75;5.03
Microcystis aeruginosa;Lukac & Aegerte;Unicell;0.6;5.03
Microcystis aeruginosa;Robarts & Zohar;Unicell;0.8;5.00
Microcystis aeruginosa;Robarts & Zohar;Unicell;0.59;5.00
Microcystis aeruginosa;Robarts & Zohar;Unicell;0.81;5.00
Prochlorococcus sp.;André et al. 99;Unicell;0.625;0.69
Prochlorococcus sp.;André et al. 99;Unicell;0.517;0.69
Prochlorococcus sp.;Brown et al. 99;Unicell;0.78;0.69
Prochlorococcus sp.;Brown et al. 99;Unicell;0.21;0.69
Prochlorococcus sp.;Jacquet et al. ;Unicell;0.6;0.63
Prochlorococcus sp.;Jacquet et al. ;Unicell;0.48;0.72
Prochlorococcus sp.;Jacquet et al. ;Unicell;0.55;0.59
Prochlorococcus sp.;Jacquet et al. ;Unicell;0.63;0.69
Prochlorococcus sp.;Jacquet et al. ;Unicell;0.4;0.66
