key;GCA;GCF;larger
1;1950;1824;GCA
2;3337;3348;GCF
3;6718;6543;GCA
4;2773;2731;GCA
5;1454;1484;GCF
6;2640;2582;GCA
7;3892;3816;GCA
8;3378;3515;GCF
9;3299;3364;GCF
10;3092;3076;GCA
11;4383;2397;GCA
12;3173;3124;GCA
13;2911;2919;GCF
14;3732;3703;GCA
15;3263;3224;GCA
16;3539;3546;GCF
17;2662;2665;GCF
18;3605;3378;GCA
19;2017;2005;GCA
20;1899;1882;GCA
21;1352;1326;GCA
22;6097;6103;GCF
23;5895;5845;GCA
24;5587;5614;GCF
25;5461;5414;GCA
26;5384;5343;GCA
27;5354;5309;GCA
28;6248;6238;GCA
29;6191;6221;GCF
30;6200;6213;GCF
31;5622;5619;GCA
32;5756;5699;GCA
33;6659;6607;GCA
34;6766;6708;GCA
35;5779;5753;GCA
36;5633;5651;GCF
37;6227;6273;GCF
38;6242;6173;GCA
39;6279;6247;GCA
40;5792;5753;GCA
41;5481;5450;GCA
42;5339;5330;GCA
43;6529;6531;GCF
44;5868;5848;GCA
45;5243;5186;GCA
46;6386;6300;GCA
47;5825;5819;GCA
48;5914;5965;GCF
49;2164;2173;GCF
50;2296;2255;GCA
51;3194;3240;GCF
52;3089;3103;GCF
53;3911;3931;GCF
54;3166;3168;GCF
55;3336;3169;GCA
56;2797;2652;GCA
57;3086;3043;GCA
58;3020;3007;GCA
59;2738;2722;GCA
60;4589;4624;GCF
61;3840;3763;GCA
62;3271;3201;GCA
63;4041;4006;GCA
64;3508;3458;GCA
65;3102;3056;GCA
66;2829;2838;GCF
67;3615;3585;GCA
68;3466;3486;GCF
69;3625;3560;GCA
70;3601;3606;GCF
71;2707;2714;GCF
72;2888;2886;GCA
73;4367;4159;GCA
74;3916;3973;GCF
75;4385;4128;GCA
76;3317;3266;GCA
77;3603;3187;GCA
78;3148;3090;GCA
79;3503;3147;GCA
80;3347;3272;GCA
81;2549;2464;GCA
82;3807;3765;GCA
83;3658;3668;GCF
84;2930;2881;GCA
85;3216;3094;GCA
86;3056;3021;GCA
87;3430;3369;GCA
88;4432;4366;GCA
89;2531;2514;GCA
90;3170;3147;GCA
91;3173;3209;GCF
92;3532;3480;GCA
93;3654;3678;GCF
94;10700;10476;GCA
95;8146;7998;GCA
96;10409;10127;GCA
97;1626;1605;GCA
98;1956;1948;GCA
99;2068;1989;GCA
100;2209;2128;GCA
101;2095;2070;GCA
102;2246;2233;GCA
103;7299;7075;GCA
104;5806;5741;GCA
105;10735;10453;GCA
106;6794;6321;GCA
107;6191;6240;GCF
108;6561;6493;GCA
109;6617;6515;GCA
110;6719;6813;GCF
111;5942;5915;GCA
112;7319;7152;GCA
113;8928;8440;GCA
114;9401;9251;GCA
115;9668;9809;GCF
116;8853;8668;GCA
117;9446;9723;GCF
118;2167;2057;GCA
119;2434;2463;GCF
120;2303;2252;GCA
121;1887;1909;GCF
122;1701;1704;GCF
123;2715;2714;GCA
124;2195;2259;GCF
125;2342;2452;GCF
126;2561;2514;GCA
127;1982;2007;GCF
128;8134;8203;GCF
129;9432;9273;GCA
130;7339;7416;GCF
131;8607;8420;GCA
132;10254;10008;GCA
133;10523;10219;GCA
134;9246;9259;GCF
135;10147;9935;GCA
136;7225;6986;GCA
137;9744;9520;GCA
138;10134;9931;GCA
139;9772;9483;GCA
140;7049;6643;GCA
141;4594;4509;GCA
142;4020;3864;GCA
143;1661;1667;GCF
144;3668;3671;GCF
145;4784;4802;GCF
146;1974;1892;GCA
147;2225;2248;GCF
148;2466;2393;GCA
149;2281;2262;GCA
150;2171;2220;GCF
151;4353;4353;same
152;2767;2754;GCA
153;3225;3162;GCA
154;3593;3450;GCA
155;1292;1229;GCA
156;1428;1457;GCF
157;1259;1266;GCF
158;1761;1769;GCF
159;1914;1870;GCA
160;3277;3283;GCF
161;3880;3824;GCA
162;3891;3951;GCF
163;4159;4158;GCA
164;4358;3903;GCA
165;1645;1616;GCA
166;1714;1655;GCA
167;2650;2537;GCA
168;3736;3729;GCA
169;3292;3255;GCA
170;3998;4012;GCF
171;4181;4182;GCF
172;3612;3543;GCA
173;3983;3941;GCA
174;2898;2892;GCA
175;2568;2581;GCF
176;2065;2076;GCF
177;1872;1852;GCA
178;5806;4899;GCA
179;5284;5179;GCA
180;4584;4573;GCA
181;4636;4588;GCA
182;2699;2692;GCA
183;2839;2834;GCA
184;2711;2680;GCA
185;3643;3430;GCA
186;3698;3909;GCF
187;3681;3523;GCA
188;3585;3473;GCA
189;3563;3603;GCF
190;3603;3574;GCA
191;3588;3577;GCA
192;3729;3736;GCF
193;4708;4530;GCA
194;3162;3335;GCF
195;3626;3556;GCA
196;2465;2462;GCA
197;2109;2133;GCF
198;2713;2688;GCA
199;5322;5278;GCA
200;2659;2659;same
201;3744;3820;GCF
202;4521;4466;GCA
203;4141;4089;GCA
204;4665;4515;GCA
205;4676;4579;GCA
206;3552;3496;GCA
207;3377;3298;GCA
208;4232;4130;GCA
209;4027;3995;GCA
210;3084;2998;GCA
211;3811;3622;GCA
212;2936;2764;GCA
213;2917;2823;GCA
214;2356;2329;GCA
215;2815;2755;GCA
216;2641;2631;GCA
217;2859;2849;GCA
218;2312;2291;GCA
219;6785;6719;GCA
220;3592;3589;GCA
221;4293;4120;GCA
222;3837;3729;GCA
223;4296;4284;GCA
224;3490;3488;GCA
225;3251;3279;GCF
226;3297;3265;GCA
227;4038;4087;GCF
228;2463;2428;GCA
229;2760;2750;GCA
230;2742;2223;GCA
231;2118;2050;GCA
232;1852;1816;GCA
233;2403;2370;GCA
234;2417;2359;GCA
235;2288;2220;GCA
236;2859;2825;GCA
237;3464;3437;GCA
238;3218;3276;GCF
239;3327;3290;GCA
240;3140;3138;GCA
241;4345;4026;GCA
242;4643;4604;GCA
243;3973;4178;GCF
244;4174;4030;GCA
245;3481;3438;GCA
246;4576;4111;GCA
247;2744;2730;GCA
248;3552;3443;GCA
249;1534;1506;GCA
250;1630;1586;GCA
251;4556;4414;GCA
252;4628;4695;GCF
253;1448;1450;GCF
254;4626;4520;GCA
255;2165;2009;GCA
256;4752;4759;GCF
257;2648;2638;GCA
258;3426;3313;GCA
259;2086;2083;GCA
260;2784;2765;GCA
261;3189;3228;GCF
262;2678;2686;GCF
263;2712;2672;GCA
264;3079;3092;GCF
265;2773;2729;GCA
266;2656;2634;GCA
267;2767;2761;GCA
268;2968;3517;GCF
269;2684;2679;GCA
270;2660;2690;GCF
271;2513;2513;same
272;3458;3402;GCA
273;2947;2939;GCA
274;2807;2786;GCA
275;3571;3597;GCF
276;3218;3152;GCA
277;3576;3497;GCA
278;3309;3286;GCA
279;3380;3319;GCA
280;3369;3304;GCA
281;4337;4345;GCF
282;3870;3916;GCF
283;3656;3624;GCA
284;3562;3583;GCF
285;2237;2229;GCA
286;6701;6462;GCA
287;6416;6148;GCA
288;1206;1206;same
289;5126;4940;GCA
290;3308;3344;GCF
291;2411;2302;GCA
292;4536;4470;GCA
293;3581;3585;GCF
294;7533;7700;GCF
295;8115;8317;GCF
296;5495;5591;GCF
297;7716;7688;GCA
298;9211;9338;GCF
299;9088;8734;GCA
300;9919;9435;GCA
301;8625;8356;GCA
302;6665;6486;GCA
303;9100;9159;GCF
304;8677;8543;GCA
305;8553;8385;GCA
306;5915;6054;GCF
307;9807;9615;GCA
308;7691;7451;GCA
309;7262;7184;GCA
310;6878;6984;GCF
311;5637;5248;GCA
312;8495;8434;GCA
313;3942;3885;GCA
314;2839;2832;GCA
315;4034;3566;GCA
316;4658;4711;GCF
317;2069;2018;GCA
318;3093;2928;GCA
319;2707;2675;GCA
320;2253;2064;GCA
321;2111;2099;GCA
322;1806;1790;GCA
323;2079;1939;GCA
324;1764;1697;GCA
325;4656;4617;GCA
326;2331;2192;GCA
327;3699;3540;GCA
328;4258;4340;GCF
329;3605;3599;GCA
330;1916;1913;GCA
331;2100;2121;GCF
332;4551;4495;GCA
333;3585;3661;GCF
334;3369;3397;GCF
335;2771;2932;GCF
336;3556;3400;GCA
337;3532;3403;GCA
338;2926;2838;GCA
339;2640;2613;GCA
340;4832;4822;GCA
341;4322;4343;GCF
342;5275;5263;GCA
343;3267;3287;GCF
344;3279;3200;GCA
345;4311;4306;GCA
346;3506;3217;GCA
347;2678;2641;GCA
348;2867;2689;GCA
349;3483;3171;GCA
350;3516;3352;GCA
351;3465;3198;GCA
352;3576;3514;GCA
353;3585;3603;GCF
354;2256;2254;GCA
355;2085;2029;GCA
356;2291;2304;GCF
357;1436;1402;GCA
358;1405;1427;GCF
359;1534;1534;same
360;3193;3172;GCA
361;3513;3430;GCA
362;2837;2842;GCF
363;4386;4321;GCA
364;4944;4824;GCA
365;4313;4281;GCA
366;4714;4647;GCA
367;3598;3566;GCA
368;4231;4256;GCF
369;2959;2948;GCA
370;3002;2968;GCA
371;4099;4101;GCF
372;4073;4611;GCF
373;1829;1746;GCA
374;1762;1666;GCA
375;1769;1633;GCA
376;4961;4864;GCA
377;2259;2258;GCA
378;2174;2263;GCF
379;2000;2025;GCF
380;2892;2880;GCA
381;2660;2638;GCA
382;2880;2908;GCF
383;1834;1828;GCA
384;1879;1902;GCF
385;1888;1894;GCF
386;4331;4340;GCF
387;4713;4557;GCA
388;4338;4216;GCA
389;3564;3420;GCA
390;3919;3832;GCA
391;2687;2711;GCF
392;2849;2848;GCA
393;2685;2709;GCF
394;2834;2748;GCA
395;3904;3845;GCA
396;3480;3495;GCF
397;3538;3640;GCF
398;3327;3369;GCF
399;4438;4463;GCF
400;3671;3628;GCA
401;3944;3944;same
402;2849;2882;GCF
403;4254;4106;GCA
404;3595;3407;GCA
405;3772;3448;GCA
406;3016;2782;GCA
407;3796;3707;GCA
408;6501;6501;same
409;3488;3258;GCA
410;4689;4727;GCF
411;2938;2868;GCA
412;8060;7951;GCA
413;4459;4392;GCA
414;3574;3572;GCA
415;2004;1936;GCA
416;1442;1230;GCA
417;1588;1561;GCA
418;4499;4504;GCF
419;4811;4659;GCA
420;4057;4007;GCA
421;2543;2611;GCF
422;3925;3926;GCF
423;5131;5026;GCA
424;3774;3812;GCF
425;3596;3619;GCF
426;5355;5188;GCA
427;4511;4581;GCF
428;4774;4539;GCA
429;2671;2661;GCA
430;1714;1728;GCF
431;2578;2509;GCA
432;2078;1996;GCA
433;3058;3068;GCF
434;5742;5627;GCA
435;3718;3694;GCA
436;6777;6595;GCA
437;5164;5218;GCF
438;5775;5833;GCF
439;7085;6891;GCA
440;5910;5907;GCA
441;6821;6908;GCF
442;6299;6080;GCA
443;5337;5359;GCF
444;7067;6873;GCA
445;3663;3712;GCF
446;5708;5678;GCA
447;3588;3641;GCF
448;4804;4821;GCF
449;4399;4439;GCF
450;4750;4407;GCA
451;3488;3326;GCA
452;5195;5292;GCF
453;4231;4455;GCF
454;3805;3898;GCF
455;3874;3882;GCF
456;3906;3877;GCA
457;3894;3993;GCF
458;4043;4000;GCA
459;4547;4555;GCF
460;5715;5593;GCA
461;3526;3593;GCF
462;5233;5269;GCF
463;4333;4677;GCF
464;5173;4998;GCA
465;5618;5698;GCF
466;5627;5339;GCA
467;4511;4400;GCA
468;4561;4454;GCA
469;4036;4009;GCA
470;3619;2845;GCA
471;4198;4227;GCF
472;3940;3894;GCA
473;4344;4420;GCF
474;4801;4733;GCA
475;4880;5137;GCF
476;6269;5998;GCA
477;5138;5180;GCF
478;3622;3684;GCF
479;4056;4273;GCF
480;3527;3519;GCA
481;2568;2583;GCF
482;5516;5420;GCA
483;2393;2375;GCA
484;4810;4312;GCA
485;4485;3848;GCA
486;4170;4168;GCA
487;3457;3417;GCA
488;3346;2735;GCA
489;3228;3133;GCA
490;2873;2586;GCA
491;3340;2224;GCA
492;4256;3956;GCA
493;3998;3941;GCA
494;3335;3177;GCA
495;4845;4647;GCA
496;7783;7945;GCF
497;1790;1830;GCF
498;2813;2696;GCA
