locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKMCHIPE_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JKMCHIPE_00002	CDS	1131	dnaN		COG0592	Beta sliding clamp
JKMCHIPE_00003	CDS	309				hypothetical protein
JKMCHIPE_00004	CDS	1125	recF		COG1195	DNA replication and repair protein RecF
JKMCHIPE_00005	CDS	1947	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
JKMCHIPE_00006	CDS	2472	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JKMCHIPE_00007	CDS	300	rpsF		COG0360	30S ribosomal protein S6
JKMCHIPE_00008	CDS	513	ssb_1		COG0629	Single-stranded DNA-binding protein
JKMCHIPE_00009	CDS	237	rpsR		COG0238	30S ribosomal protein S18
JKMCHIPE_00010	CDS	1974	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
JKMCHIPE_00011	CDS	453	rplI			50S ribosomal protein L9
JKMCHIPE_00012	CDS	1368	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
JKMCHIPE_00013	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
JKMCHIPE_00014	CDS	864				DegV domain-containing protein
JKMCHIPE_00015	CDS	1623	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
JKMCHIPE_00016	CDS	522				hypothetical protein
JKMCHIPE_00017	CDS	1731	pox5	1.2.3.3	COG0028	Pyruvate oxidase
JKMCHIPE_00018	CDS	819	zupT		COG0428	Zinc transporter ZupT
JKMCHIPE_00019	CDS	198				hypothetical protein
JKMCHIPE_00020	CDS	579				Potassium channel
JKMCHIPE_00021	CDS	138				hypothetical protein
JKMCHIPE_00022	CDS	504				hypothetical protein
JKMCHIPE_00023	CDS	1026				hypothetical protein
JKMCHIPE_00024	CDS	864				hypothetical protein
JKMCHIPE_00025	CDS	390				hypothetical protein
JKMCHIPE_00026	CDS	231				hypothetical protein
JKMCHIPE_00027	CDS	207				hypothetical protein
JKMCHIPE_00028	CDS	372				hypothetical protein
JKMCHIPE_00029	CDS	693	yvdM_1	5.4.2.6	COG0637	Beta-phosphoglucomutase
JKMCHIPE_00030	CDS	786	lacR_1			Lactose phosphotransferase system repressor
JKMCHIPE_00031	CDS	1401	lacG_1	3.2.1.85	COG2723	6-phospho-beta-galactosidase
JKMCHIPE_00032	CDS	318	lacF_1			PTS system lactose-specific EIIA component
JKMCHIPE_00033	CDS	1674	lacE_1		COG1455	PTS system lactose-specific EIICB component
JKMCHIPE_00034	CDS	1632				hypothetical protein
JKMCHIPE_00035	CDS	1566	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
JKMCHIPE_00036	CDS	924	coaA	2.7.1.33		Pantothenate kinase
JKMCHIPE_00037	CDS	606	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
JKMCHIPE_00038	CDS	1017	degA_1		COG1609	HTH-type transcriptional regulator DegA
JKMCHIPE_00039	CDS	1302	pdp	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
JKMCHIPE_00040	CDS	663	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
JKMCHIPE_00041	CDS	399	cdd	3.5.4.5	COG0295	Cytidine deaminase
JKMCHIPE_00042	CDS	1083	tmpC		COG1744	Membrane lipoprotein TmpC
JKMCHIPE_00043	CDS	1563	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
JKMCHIPE_00044	CDS	1134				hypothetical protein
JKMCHIPE_00045	CDS	957				hypothetical protein
JKMCHIPE_00046	CDS	1167	deoB	5.4.2.7		Phosphopentomutase
JKMCHIPE_00047	CDS	819	punA	2.4.2.1		Purine nucleoside phosphorylase 1
JKMCHIPE_00048	CDS	708	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
JKMCHIPE_00049	CDS	687	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
JKMCHIPE_00050	CDS	582	hin		COG1961	DNA-invertase hin
JKMCHIPE_00051	CDS	684	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
JKMCHIPE_00052	CDS	414	rpsL		COG0048	30S ribosomal protein S12
JKMCHIPE_00053	CDS	471	rpsG		COG0049	30S ribosomal protein S7
JKMCHIPE_00054	CDS	2088	fus			Elongation factor G
JKMCHIPE_00055	CDS	1188	tuf_1		COG0050	Elongation factor Tu
JKMCHIPE_00056	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
JKMCHIPE_00057	CDS	630	rplC		COG0087	50S ribosomal protein L3
JKMCHIPE_00058	CDS	624	rplD		COG0088	50S ribosomal protein L4
JKMCHIPE_00059	CDS	291	rplW			50S ribosomal protein L23
JKMCHIPE_00060	CDS	834	rplB		COG0090	50S ribosomal protein L2
JKMCHIPE_00061	CDS	279	rpsS		COG0185	30S ribosomal protein S19
JKMCHIPE_00062	CDS	348	rplV		COG0091	50S ribosomal protein L22
JKMCHIPE_00063	CDS	657	rpsC		COG0092	30S ribosomal protein S3
JKMCHIPE_00064	CDS	435	rplP		COG0197	50S ribosomal protein L16
JKMCHIPE_00065	CDS	189	rpmC		COG0255	50S ribosomal protein L29
JKMCHIPE_00066	CDS	267	rpsQ		COG0186	30S ribosomal protein S17
JKMCHIPE_00067	CDS	369	rplN		COG0093	50S ribosomal protein L14
JKMCHIPE_00068	CDS	309	rplX			50S ribosomal protein L24
JKMCHIPE_00069	CDS	540	rplE		COG0094	50S ribosomal protein L5
JKMCHIPE_00070	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
JKMCHIPE_00071	CDS	399	rpsH		COG0096	30S ribosomal protein S8
JKMCHIPE_00072	CDS	537	rplF			50S ribosomal protein L6
JKMCHIPE_00073	CDS	357	rplR		COG0256	50S ribosomal protein L18
JKMCHIPE_00074	CDS	501	rpsE		COG0098	30S ribosomal protein S5
JKMCHIPE_00075	CDS	180	rpmD		COG1841	50S ribosomal protein L30
JKMCHIPE_00076	CDS	441	rplO			50S ribosomal protein L15
JKMCHIPE_00077	CDS	1296	secY			Protein translocase subunit SecY
JKMCHIPE_00078	CDS	648	adk	2.7.4.3		Adenylate kinase
JKMCHIPE_00079	CDS	219	infA		COG0361	Translation initiation factor IF-1
JKMCHIPE_00080	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
JKMCHIPE_00081	CDS	366	rpsM		COG0099	30S ribosomal protein S13
JKMCHIPE_00082	CDS	390	rpsK			30S ribosomal protein S11
JKMCHIPE_00083	CDS	939	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
