# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	391	1032	-							EII11_00005	642		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	391	1032	-	RRC96104.1			hypothetical protein			EII11_00005	642	213	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	1547	2503	+							EII11_00010	957		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	1547	2503	+	RRC96105.1			alpha/beta hydrolase			EII11_00010	957	318	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	2671	4032	+							EII11_00015	1362		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	2671	4032	+	RRC96106.1			MFS transporter			EII11_00015	1362	453	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	4139	4966	+							EII11_00020	828		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	4139	4966	+	RRC96528.1			phospholipase			EII11_00020	828	275	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	4982	5758	+							EII11_00025	777		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	4982	5758	+	RRC96107.1			inositol monophosphatase family protein			EII11_00025	777	258	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	5920	7053	+							EII11_00030	1134		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	5920	7053	+	RRC96108.1			LacI family transcriptional regulator			EII11_00030	1134	377	
