# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3877243	177	-							EJO50_RS00005	312		old_locus_tag=EJO50_00005
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3877243	177	-	WP_164521551.1	WP_164521551.1		(2Fe-2S) ferredoxin domain-containing protein			EJO50_RS00005	312	103	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	535	1629	-							EJO50_RS00010	1095		old_locus_tag=EJO50_00010
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	535	1629	-	WP_125970991.1	WP_125970991.1		hypothetical protein			EJO50_RS00010	1095	364	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2235	2672	+							EJO50_RS00015	438		old_locus_tag=EJO50_00015
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2235	2672	+	WP_206434419.1	WP_206434419.1		PACE efflux transporter			EJO50_RS00015	438	145	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2712	3185	+							EJO50_RS00020	474		old_locus_tag=EJO50_00020
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2712	3185	+	WP_125970992.1	WP_125970992.1		WbuC family cupin fold metalloprotein			EJO50_RS00020	474	157	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3167	3373	-							EJO50_RS00025	207		old_locus_tag=EJO50_00025
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3167	3373	-	WP_125970993.1	WP_125970993.1		hypothetical protein			EJO50_RS00025	207	68	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3508	3741	+							EJO50_RS00030	234		old_locus_tag=EJO50_00030
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3508	3741	+	WP_125970994.1	WP_125970994.1		hypothetical protein			EJO50_RS00030	234	77	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3738	4040	+							EJO50_RS00035	303		old_locus_tag=EJO50_00035
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3738	4040	+	WP_206434420.1	WP_206434420.1		type II toxin-antitoxin system RelE/ParE family toxin			EJO50_RS00035	303	100	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	4080	6863	+							EJO50_RS00040	2784		old_locus_tag=EJO50_00040
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	4080	6863	+	WP_125970995.1	WP_125970995.1		class I SAM-dependent DNA methyltransferase			EJO50_RS00040	2784	927	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	6860	7648	+							EJO50_RS00045	789		old_locus_tag=EJO50_00045
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	6860	7648	+	WP_125970996.1	WP_125970996.1		hypothetical protein			EJO50_RS00045	789	262	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	7638	9713	+							EJO50_RS00050	2076		old_locus_tag=EJO50_00050
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	7638	9713	+	WP_125970997.1	WP_125970997.1		DEAD/DEAH box helicase			EJO50_RS00050	2076	691	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	9706	10884	+							EJO50_RS00055	1179		old_locus_tag=EJO50_00055
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	9706	10884	+	WP_125970998.1	WP_125970998.1		GIY-YIG nuclease family protein			EJO50_RS00055	1179	392	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	10897	11073	-							EJO50_RS00060	177		old_locus_tag=EJO50_00060
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	10897	11073	-	WP_206434421.1	WP_206434421.1		hypothetical protein			EJO50_RS00060	177	58	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	11054	12121	-							EJO50_RS00065	1068		old_locus_tag=EJO50_00065
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	11054	12121	-	WP_125970999.1	WP_125970999.1		XRE family transcriptional regulator			EJO50_RS00065	1068	355	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	12620	14092	-							EJO50_RS00070	1473		old_locus_tag=EJO50_00070
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	12620	14092	-	WP_125971000.1	WP_125971000.1		hypothetical protein			EJO50_RS00070	1473	490	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	14232	16304	-					metG		EJO50_RS00075	2073		old_locus_tag=EJO50_00075
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	14232	16304	-	WP_125971001.1	WP_125971001.1		methionine--tRNA ligase	metG		EJO50_RS00075	2073	690	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	17207	17575	+							EJO50_RS00080	369		old_locus_tag=EJO50_00080
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	17207	17575	+	WP_125971002.1	WP_125971002.1		Hpt domain-containing protein			EJO50_RS00080	369	122	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	17645	18238	+							EJO50_RS00085	594		old_locus_tag=EJO50_00085
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	17645	18238	+	WP_125971003.1	WP_125971003.1		CoA pyrophosphatase			EJO50_RS00085	594	197	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	18772	19833	-							EJO50_RS00090	1062		old_locus_tag=EJO50_00090
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	18772	19833	-	WP_125971004.1	WP_125971004.1		PAS domain-containing protein			EJO50_RS00090	1062	353	
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20041	20116	-							EJO50_RS00095	76		old_locus_tag=EJO50_00095
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20041	20116	-				tRNA-Val			EJO50_RS00095	76		anticodon=TAC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20156	20232	-							EJO50_RS00100	77		old_locus_tag=EJO50_00100
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20156	20232	-				tRNA-Asp			EJO50_RS00100	77		anticodon=GTC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20267	20342	-							EJO50_RS00105	76		old_locus_tag=EJO50_00105
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20267	20342	-				tRNA-Val			EJO50_RS00105	76		anticodon=TAC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20458	20534	-							EJO50_RS00110	77		old_locus_tag=EJO50_00110
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20458	20534	-				tRNA-Asp			EJO50_RS00110	77		anticodon=GTC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20569	20644	-							EJO50_RS00115	76		old_locus_tag=EJO50_00115
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20569	20644	-				tRNA-Val			EJO50_RS00115	76		anticodon=TAC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20684	20760	-							EJO50_RS00120	77		old_locus_tag=EJO50_00120
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20684	20760	-				tRNA-Asp			EJO50_RS00120	77		anticodon=GTC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20798	20873	-							EJO50_RS00125	76		old_locus_tag=EJO50_00125
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	20798	20873	-				tRNA-Val			EJO50_RS00125	76		anticodon=TAC
