locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJECMPOM_00001	CDS	696				hypothetical protein
JJECMPOM_00002	CDS	171				hypothetical protein
JJECMPOM_00003	CDS	957				hypothetical protein
JJECMPOM_00004	CDS	1362	yihN_1			Inner membrane protein YihN
JJECMPOM_00005	CDS	867	plcA	4.6.1.13		1-phosphatidylinositol phosphodiesterase
JJECMPOM_00006	CDS	777	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
JJECMPOM_00007	CDS	1119	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
JJECMPOM_00008	CDS	2775				hypothetical protein
JJECMPOM_00009	CDS	192				hypothetical protein
JJECMPOM_00010	CDS	846	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
JJECMPOM_00011	CDS	900	ppnK	2.7.1.23	COG0061	NAD kinase
JJECMPOM_00012	CDS	1668	recN		COG0497	DNA repair protein RecN
JJECMPOM_00013	CDS	1206				hypothetical protein
JJECMPOM_00014	CDS	924	mctB			Copper transporter MctB
JJECMPOM_00015	CDS	651	act	3.-.-.-		Methanol dehydrogenase activator
JJECMPOM_00016	CDS	696				hypothetical protein
JJECMPOM_00017	CDS	1449				hypothetical protein
JJECMPOM_00018	CDS	1200				hypothetical protein
JJECMPOM_00019	CDS	753	sufC		COG0396	Vegetative protein 296
JJECMPOM_00020	CDS	1332	csd	2.8.1.7	COG0520	putative cysteine desulfurase
JJECMPOM_00021	CDS	471	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
JJECMPOM_00022	CDS	429				hypothetical protein
JJECMPOM_00023	CDS	1701	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
JJECMPOM_00024	CDS	897				hypothetical protein
JJECMPOM_00025	CDS	1356	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
JJECMPOM_00026	CDS	822				queuosine precursor transporter
JJECMPOM_00027	CDS	1611	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
JJECMPOM_00028	CDS	1221	metXA	2.3.1.31	COG2021	Homoserine O-acetyltransferase
JJECMPOM_00029	CDS	780	glnQ_1			Glutamine transport ATP-binding protein GlnQ
JJECMPOM_00030	CDS	942				hypothetical protein
JJECMPOM_00031	CDS	936	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
JJECMPOM_00032	CDS	699				putative protein
JJECMPOM_00033	CDS	1206				hypothetical protein
JJECMPOM_00034	CDS	1401				hypothetical protein
JJECMPOM_00035	CDS	1755	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
JJECMPOM_00036	CDS	1374	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
JJECMPOM_00037	CDS	462	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
JJECMPOM_00038	CDS	534				hypothetical protein
JJECMPOM_00039	CDS	534				hypothetical protein
JJECMPOM_00040	CDS	1707	dinB	2.7.7.7		DNA polymerase IV
JJECMPOM_00041	CDS	615	tdk	2.7.1.21	COG1435	Thymidine kinase
JJECMPOM_00042	CDS	3234				hypothetical protein
JJECMPOM_00043	CDS	1035		1.1.1.301		D-arabitol-phosphate dehydrogenase
JJECMPOM_00044	CDS	3339	dnaE2	2.7.7.7	COG0587	Error-prone DNA polymerase
JJECMPOM_00045	CDS	519				hypothetical protein
JJECMPOM_00046	tRNA	88				tRNA-Leu(gag)
JJECMPOM_00047	CDS	687				hypothetical protein
JJECMPOM_00048	CDS	1074				hypothetical protein
JJECMPOM_00049	CDS	1098		1.18.1.2		Ferredoxin--NADP reductase
JJECMPOM_00050	CDS	294				hypothetical protein
JJECMPOM_00051	CDS	942	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
JJECMPOM_00052	CDS	858	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
JJECMPOM_00053	CDS	693	gph_1	3.1.3.18		Phosphoglycolate phosphatase
JJECMPOM_00054	CDS	954	rexB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
JJECMPOM_00055	CDS	1095	pcm	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
JJECMPOM_00056	CDS	1596	mpa		COG0464	Proteasome-associated ATPase
JJECMPOM_00057	CDS	1572	dop	3.4.-.-		Depupylase
JJECMPOM_00058	CDS	180	pup			Prokaryotic ubiquitin-like protein Pup
JJECMPOM_00059	CDS	1389	pafA	6.3.1.19		Pup--protein ligase
JJECMPOM_00060	CDS	228				hypothetical protein
JJECMPOM_00061	CDS	996				hypothetical protein
JJECMPOM_00062	CDS	1224	aroC	4.2.3.5		Chorismate synthase
JJECMPOM_00063	CDS	1599	aroB	4.2.3.4		3-dehydroquinate synthase
JJECMPOM_00064	CDS	564	aroK	2.7.1.71	COG0703	Shikimate kinase
JJECMPOM_00065	CDS	564	efp		COG0231	Elongation factor P
JJECMPOM_00066	CDS	792	nusB			Transcription antitermination protein NusB
JJECMPOM_00067	CDS	1197				hypothetical protein
JJECMPOM_00068	CDS	576	pyrR			Bifunctional protein pyrR
JJECMPOM_00069	CDS	993	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
JJECMPOM_00070	CDS	1314	pyrC	3.5.2.3	COG0044	Dihydroorotase
JJECMPOM_00071	CDS	498	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
JJECMPOM_00072	CDS	3300	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
JJECMPOM_00073	CDS	849	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
JJECMPOM_00074	CDS	312				hypothetical protein
JJECMPOM_00075	CDS	558	gmk	2.7.4.8	COG0194	Guanylate kinase
JJECMPOM_00076	CDS	267	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
JJECMPOM_00077	CDS	1251	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
JJECMPOM_00078	CDS	1197	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
JJECMPOM_00079	CDS	600				hypothetical protein
JJECMPOM_00080	CDS	2100	priA	3.6.4.-	COG1198	putative primosomal protein N'
JJECMPOM_00081	CDS	990	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
JJECMPOM_00082	CDS	1476		2.1.1.-	COG0144	Putative methyltransferase
JJECMPOM_00083	CDS	663	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
JJECMPOM_00084	CDS	765				hypothetical protein
JJECMPOM_00085	CDS	1059	ribY_1		COG0715	Riboflavin-binding protein RibY
JJECMPOM_00086	CDS	1008				hypothetical protein
JJECMPOM_00087	CDS	990				hypothetical protein
JJECMPOM_00088	CDS	2802	helY	3.6.4.-	COG4581	putative helicase HelY
JJECMPOM_00089	CDS	1647	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
JJECMPOM_00090	CDS	366	rbpA			RNA polymerase-binding protein RbpA
JJECMPOM_00091	CDS	1551	hscA			Chaperone protein HscA
JJECMPOM_00092	CDS	1788	ydfJ		COG2409	Membrane protein YdfJ
JJECMPOM_00093	CDS	1023				hypothetical protein
JJECMPOM_00094	CDS	2556	smc_1			Chromosome partition protein Smc
JJECMPOM_00095	CDS	561			COG0789	putative HTH-type transcriptional regulator
JJECMPOM_00096	CDS	777			COG0789	putative HTH-type transcriptional regulator
JJECMPOM_00097	CDS	432	odhI		COG1716	Oxoglutarate dehydrogenase inhibitor
JJECMPOM_00098	CDS	804				hypothetical protein
JJECMPOM_00099	CDS	333				hypothetical protein
JJECMPOM_00100	CDS	849				hypothetical protein
JJECMPOM_00101	CDS	2628	pepN_1	3.4.11.2		Aminopeptidase N
JJECMPOM_00102	CDS	1578	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
JJECMPOM_00103	CDS	1542	der		COG1160	GTPase Der
JJECMPOM_00104	CDS	327				hypothetical protein
JJECMPOM_00105	CDS	873				hypothetical protein
JJECMPOM_00106	CDS	582		1.6.5.7		2-hydroxy-1,4-benzoquinone reductase
JJECMPOM_00107	tRNA	75				tRNA-Pro(ggg)
JJECMPOM_00108	CDS	732	cmk	2.7.4.25	COG0283	Cytidylate kinase
JJECMPOM_00109	CDS	1191				hypothetical protein
JJECMPOM_00110	CDS	750		5.4.99.-	COG1187	putative RNA pseudouridine synthase
JJECMPOM_00111	CDS	642	scpB		COG1386	Segregation and condensation protein B
JJECMPOM_00112	CDS	834	scpA		COG1354	Segregation and condensation protein A
JJECMPOM_00113	CDS	864			COG1192	putative protein
JJECMPOM_00114	CDS	1002	xerD		COG4974	Tyrosine recombinase XerD
JJECMPOM_00115	CDS	2082	tkt	2.2.1.1	COG0021	Transketolase
JJECMPOM_00116	CDS	1527	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
JJECMPOM_00117	CDS	978				hypothetical protein
JJECMPOM_00118	CDS	729	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
JJECMPOM_00119	CDS	246	secG		COG1314	putative protein-export membrane protein SecG
JJECMPOM_00120	CDS	780	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
JJECMPOM_00121	CDS	1191	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
JJECMPOM_00122	CDS	1005	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
JJECMPOM_00123	CDS	984	whiA		COG1481	putative cell division protein WhiA
JJECMPOM_00124	CDS	1005			COG0391	Putative gluconeogenesis factor
JJECMPOM_00125	CDS	948			COG1660	Nucleotide-binding protein
JJECMPOM_00126	CDS	2061	uvrC		COG0322	UvrABC system protein C
JJECMPOM_00127	CDS	1425	glnA	6.3.1.2	COG0174	Glutamine synthetase
JJECMPOM_00128	CDS	1845		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
JJECMPOM_00129	CDS	2862	uvrA_1		COG0178	UvrABC system protein A
JJECMPOM_00130	CDS	843	catD	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
JJECMPOM_00131	CDS	2427	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
JJECMPOM_00132	CDS	1062			COG0861	putative membrane protein
JJECMPOM_00133	CDS	969				hypothetical protein
JJECMPOM_00134	CDS	753	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
JJECMPOM_00135	CDS	2094	uvrB		COG0556	UvrABC system protein B
JJECMPOM_00136	CDS	1704	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
JJECMPOM_00137	CDS	675	coaE_1	2.7.1.24	COG0237	Dephospho-CoA kinase
JJECMPOM_00138	CDS	705	cutC		COG3142	Copper homeostasis protein CutC
JJECMPOM_00139	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
JJECMPOM_00140	CDS	1458				hypothetical protein
JJECMPOM_00141	CDS	903	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
JJECMPOM_00142	CDS	915	lacF_1			Lactose transport system permease protein LacF
JJECMPOM_00143	CDS	1299				hypothetical protein
JJECMPOM_00144	CDS	1176	mlc_1		COG1940	Protein mlc
JJECMPOM_00145	CDS	417	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
JJECMPOM_00146	CDS	1461	rpsA		COG0539	30S ribosomal protein S1
JJECMPOM_00147	CDS	2748	polA	2.7.7.7	COG0258	DNA polymerase I
JJECMPOM_00148	CDS	447	entH	3.1.2.-		Proofreading thioesterase EntH
JJECMPOM_00149	CDS	1383				hypothetical protein
JJECMPOM_00150	tRNA	75				tRNA-Leu(caa)
JJECMPOM_00151	CDS	591	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
JJECMPOM_00152	CDS	279				hypothetical protein
JJECMPOM_00153	CDS	1446	pyk	2.7.1.40	COG0469	Pyruvate kinase
JJECMPOM_00154	CDS	1005	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
JJECMPOM_00155	CDS	849	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
JJECMPOM_00156	CDS	681				hypothetical protein
JJECMPOM_00157	CDS	897	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
JJECMPOM_00158	CDS	1749	mltG	4.2.2.-		Endolytic murein transglycosylase
JJECMPOM_00159	CDS	474		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
JJECMPOM_00160	CDS	2691	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
JJECMPOM_00161	CDS	624	rpsD			30S ribosomal protein S4
JJECMPOM_00162	CDS	1344			COG2256	putative AAA domain-containing protein
JJECMPOM_00163	CDS	603	rclC		COG3059	Inner membrane protein RclC
JJECMPOM_00164	CDS	900				hypothetical protein
JJECMPOM_00165	CDS	732	yciO		COG0009	putative protein YciO
JJECMPOM_00166	CDS	1929	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
JJECMPOM_00167	CDS	1494	mdtL			Multidrug resistance protein MdtL
JJECMPOM_00168	CDS	2574	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
JJECMPOM_00169	CDS	924				hypothetical protein
JJECMPOM_00170	CDS	1077	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
JJECMPOM_00171	CDS	1308				hypothetical protein
JJECMPOM_00172	CDS	960	araP		COG1175	L-arabinose transport system permease protein AraP
JJECMPOM_00173	CDS	933				hypothetical protein
JJECMPOM_00174	CDS	1107	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
JJECMPOM_00175	CDS	1083	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
JJECMPOM_00176	CDS	1095				hypothetical protein
JJECMPOM_00177	CDS	1614				hypothetical protein
JJECMPOM_00178	CDS	2784				hypothetical protein
