locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEFKBDCK_00001	CDS	1095				hypothetical protein
EEFKBDCK_00002	CDS	438				hypothetical protein
EEFKBDCK_00003	CDS	474				hypothetical protein
EEFKBDCK_00004	CDS	234				hypothetical protein
EEFKBDCK_00005	CDS	303	relE2		COG3668	Toxin RelE2
EEFKBDCK_00006	CDS	2784				hypothetical protein
EEFKBDCK_00007	CDS	789				hypothetical protein
EEFKBDCK_00008	CDS	2076				hypothetical protein
EEFKBDCK_00009	CDS	1179				hypothetical protein
EEFKBDCK_00010	CDS	177				hypothetical protein
EEFKBDCK_00011	CDS	1068				hypothetical protein
EEFKBDCK_00012	CDS	279				hypothetical protein
EEFKBDCK_00013	CDS	1473				hypothetical protein
EEFKBDCK_00014	CDS	2073	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
EEFKBDCK_00015	CDS	369				hypothetical protein
EEFKBDCK_00016	CDS	594	nudL	3.6.1.-		putative Nudix hydrolase NudL
EEFKBDCK_00017	CDS	1062				hypothetical protein
EEFKBDCK_00018	tRNA	76				tRNA-Val(tac)
EEFKBDCK_00019	tRNA	77				tRNA-Asp(gtc)
EEFKBDCK_00020	tRNA	76				tRNA-Val(tac)
EEFKBDCK_00021	tRNA	77				tRNA-Asp(gtc)
EEFKBDCK_00022	tRNA	76				tRNA-Val(tac)
EEFKBDCK_00023	tRNA	77				tRNA-Asp(gtc)
EEFKBDCK_00024	tRNA	76				tRNA-Val(tac)
EEFKBDCK_00025	CDS	807				hypothetical protein
EEFKBDCK_00026	CDS	2043	gspD		COG1450	Putative secretin GspD
EEFKBDCK_00027	CDS	1458	hxcR_1		COG2804	putative type II secretion system protein HxcR
EEFKBDCK_00028	CDS	219				hypothetical protein
EEFKBDCK_00029	CDS	318				hypothetical protein
EEFKBDCK_00030	CDS	549				hypothetical protein
EEFKBDCK_00031	CDS	912	arnD	3.5.1.-		putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
EEFKBDCK_00032	CDS	1170	ampC	3.5.2.6	COG1680	Beta-lactamase
EEFKBDCK_00033	CDS	1248	mcpP		COG0840	Methyl-accepting chemotaxis protein McpP
EEFKBDCK_00034	CDS	984				IS110 family transposase IS1663
EEFKBDCK_00035	CDS	405				hypothetical protein
EEFKBDCK_00036	CDS	1044	selU	2.5.1.-		tRNA 2-selenouridine synthase
EEFKBDCK_00037	CDS	1038	selD	2.7.9.3	COG0709	Selenide, water dikinase
EEFKBDCK_00038	CDS	2703	chb_1	3.2.1.52		Chitobiase
EEFKBDCK_00039	CDS	1317	ndh	1.6.99.3	COG1252	NADH dehydrogenase
EEFKBDCK_00040	CDS	786				hypothetical protein
EEFKBDCK_00041	CDS	441				hypothetical protein
EEFKBDCK_00042	CDS	1575	dppA_1		COG0747	Periplasmic dipeptide transport protein
EEFKBDCK_00043	CDS	612				hypothetical protein
EEFKBDCK_00044	CDS	1629	mcp4		COG0840	Methyl-accepting chemotaxis protein 4
EEFKBDCK_00045	CDS	474				hypothetical protein
EEFKBDCK_00046	CDS	1380	dtpT		COG3104	Di-/tripeptide transporter
EEFKBDCK_00047	CDS	813	murI	5.1.1.3	COG0796	Glutamate racemase
EEFKBDCK_00048	CDS	1128				hypothetical protein
EEFKBDCK_00049	CDS	1785	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
EEFKBDCK_00050	CDS	714				hypothetical protein
EEFKBDCK_00051	CDS	537	sttH	3.5.2.19		Streptothricin hydrolase
EEFKBDCK_00052	CDS	531				IS3 family transposase ISHar1
EEFKBDCK_00053	CDS	837				IS3 family transposase ISHar1
EEFKBDCK_00054	CDS	1461	katA	1.11.1.6		Catalase
EEFKBDCK_00055	CDS	2721	impA	3.4.24.-		Immunomodulating metalloprotease
EEFKBDCK_00056	CDS	309		1.-.-.-	COG1359	Putative monooxygenase
EEFKBDCK_00057	CDS	687	hchA	3.5.1.124		Protein/nucleic acid deglycase HchA
EEFKBDCK_00058	CDS	912	rhaS_1			HTH-type transcriptional activator RhaS
EEFKBDCK_00059	CDS	1689				hypothetical protein
EEFKBDCK_00060	CDS	1269	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
EEFKBDCK_00061	CDS	1437	glgA	2.4.1.21	COG0297	Glycogen synthase
EEFKBDCK_00062	CDS	2448	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
EEFKBDCK_00063	CDS	549	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
EEFKBDCK_00064	CDS	681				hypothetical protein
EEFKBDCK_00065	CDS	1350				hypothetical protein
EEFKBDCK_00066	CDS	420				hypothetical protein
EEFKBDCK_00067	CDS	414				hypothetical protein
EEFKBDCK_00068	CDS	873	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
EEFKBDCK_00069	CDS	540	ubiC	4.1.3.40		Chorismate pyruvate-lyase
EEFKBDCK_00070	CDS	465				hypothetical protein
EEFKBDCK_00071	CDS	243				hypothetical protein
EEFKBDCK_00072	CDS	489				hypothetical protein
EEFKBDCK_00073	CDS	1218	rstB_1	2.7.13.3		Sensor protein RstB
EEFKBDCK_00074	CDS	687	ompR			Transcriptional regulatory protein OmpR
EEFKBDCK_00075	CDS	504				hypothetical protein
EEFKBDCK_00076	CDS	381			COG0251	RutC family protein
EEFKBDCK_00077	CDS	2790				hypothetical protein
EEFKBDCK_00078	CDS	2454				hypothetical protein
EEFKBDCK_00079	CDS	702	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EEFKBDCK_00080	CDS	606		3.1.1.2		Arylesterase
EEFKBDCK_00081	CDS	2661	btuB_1			Vitamin B12 transporter BtuB
EEFKBDCK_00082	CDS	633	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
EEFKBDCK_00083	CDS	837				hypothetical protein
EEFKBDCK_00084	CDS	2886				hypothetical protein
EEFKBDCK_00085	CDS	1140	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
EEFKBDCK_00086	CDS	780	bioH	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
EEFKBDCK_00087	CDS	420				hypothetical protein
EEFKBDCK_00088	CDS	1305	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
EEFKBDCK_00089	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
EEFKBDCK_00090	CDS	693				hypothetical protein
EEFKBDCK_00091	CDS	936	metR			HTH-type transcriptional regulator MetR
EEFKBDCK_00092	CDS	510				hypothetical protein
EEFKBDCK_00093	CDS	1170	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
EEFKBDCK_00094	CDS	1296	pepP_1	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
EEFKBDCK_00095	CDS	729	pmpR		COG0217	Transcriptional regulatory protein PmpR
EEFKBDCK_00096	CDS	420	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
EEFKBDCK_00097	CDS	444	ohrR			Organic hydroperoxide resistance transcriptional regulator
EEFKBDCK_00098	CDS	588	rnd	3.1.13.5		Ribonuclease D
EEFKBDCK_00099	CDS	195				hypothetical protein
EEFKBDCK_00100	CDS	750				hypothetical protein
