category;description;COG;name;odds_ratio_log10_corr;0
A;RNA processing and modification;COG5180;PAB1-binding protein, interacts with poly(A)-binding protein;3.0;1
S;Function unknown;COG4478;Uncharacterized membrane protein;1.271669048859985;1
S;Function unknown;COG4194;Uncharacterized membrane protein, DUF1648 family;1.0208485422992957;1
S;Function unknown;COG4224;Uncharacterized conserved protein YnzC, UPF0291/DUF896 family;1.0987768021110056;1
S;Function unknown;COG4279;Uncharacterized protein, contains SWIM-type Zn finger domain;1.20437477555376;1
S;Function unknown;COG4443;Uncharacterized conserved protein;1.0632082200712112;1
S;Function unknown;COG4466;Uncharacterized conserved protein Veg, DUF1021 family;1.4786389609035844;1
S;Function unknown;COG4470;Uncharacterized conserved protein YutD, DUF1027 family;1.7406662857889583;1
S;Function unknown;COG4471;Uncharacterized conserved protein YlbG, UPF0298 family;1.7513615988989486;1
S;Function unknown;COG4472;Uncharacterized conserved protein, UPF0297 family;1.1683372073443057;1
S;Function unknown;COG4475;Uncharacterized conserved protein YwlG, UPF0340 family;1.0981706655098005;1
S;Function unknown;COG4476;Uncharacterized conserved protein YktA, UPF0223 family;1.8885312668210184;1
S;Function unknown;COG4479;Uncharacterized conserved protein YozE, UPF0346 family;1.545307116465824;1
S;Function unknown;COG4086;Uncharacterized conserved protein YpuA, DUF1002 family;1.530388347059083;1
S;Function unknown;COG4481;Uncharacterized conserved protein, DUF951 family;1.1091943854623512;1
S;Function unknown;COG4483;Uncharacterized conserved protein YqgQ, DUF910 family;1.951781910891668;1
S;Function unknown;COG4493;Uncharacterized conserved protein YktB, UPF0637 family;1.8751561807742008;1
S;Function unknown;COG4506;Uncharacterized beta-barrel protein YwiB, DUF1934 family;1.0473261145943285;1
S;Function unknown;COG4509;Uncharacterized conserved protein;1.1896640662449551;1
S;Function unknown;COG4549;Uncharacterized conserved protein YcnI, contains cohesin/reeler-like domain;1.126893553780741;1
S;Function unknown;COG4652;Uncharacterized conserved protein, DUF1430 domain;1.3746073641936074;1
S;Function unknown;COG4687;Uncharacterized conserved protein;1.6094174230860172;1
S;Function unknown;COG4698;Uncharacterized conserved protein YpmS, DUF2140 family;1.5310666773512138;1
S;Function unknown;COG4703;Uncharacterized conserved protein YkuJ, DUF1797 family;3.0;1
S;Function unknown;COG4129;Uncharacterized membrane protein YgaE, UPF0421/DUF939 family;1.4224431773715052;1
S;Function unknown;COG3906;Uncharacterized conserved protein YrzB, UPF0473 family;1.2611484452687376;1
S;Function unknown;COG4762;Uncharacterized conserved protein, UPF0548 family;1.6744975462264482;1
S;Function unknown;COG2364;Uncharacterized membrane protein YczE;1.4289822251061202;1
R;General function prediction only;COG4851;Uncharacterized conserved protein involved in sex pheromone biosynthesis;1.818769101291908;1
R;General function prediction only;COG4908;Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain;1.129821549238499;1
R;General function prediction only;COG4918;Predicted Fe-S cluster biosynthesis protein YqkB;1.517800226517747;1
R;General function prediction only;COG5298;Predicted metal-dependent carbohydrate esterase YdaL, contains NodB-like catalytic (CE4) domain;1.2082759424270826;1
R;General function prediction only;COG5516;Uncharacterized conserved protein containing a Zn-ribbon-like motif, possibly RNA-binding;1.240115049640871;1
S;Function unknown;COG1302;Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family;1.5410625342105504;1
S;Function unknown;COG1507;Uncharacterized conserved protein, DUF501 family;1.3330009050182867;1
S;Function unknown;COG1550;Stress-induced protein YlxP, DUF503 family;1.0207225666425306;1
S;Function unknown;COG1615;Uncharacterized membrane protein, UPF0182 family;1.685887316239394;1
S;Function unknown;COG1950;Uncharacterized membrane protein YvlD, DUF360 family;1.065919315379788;1
S;Function unknown;COG2456;Uncharacterized conserved protein, DUF2304 domain;1.1985485721122549;1
S;Function unknown;COG3879;Uncharacterized conserved protein YlxW, UPF0749 family;1.3505266591525962;1
S;Function unknown;COG2966;Uncharacterized membrane protein YjjP, DUF1212 family;1.0308150741626592;1
S;Function unknown;COG3304;Uncharacterized membrane protein YccF, DUF307 family;1.0210688123215157;1
S;Function unknown;COG3377;Uncharacterized conserved protein YunC, DUF1805 family;1.1671618129982946;1
S;Function unknown;COG3402;Uncharacterized membrane protein YdbS, contains bPH2 (bacterial pleckstrin homology) domain;1.156053286978879;1
S;Function unknown;COG3465;Uncharacterized conserved protein YwgA;1.0243114870812924;1
S;Function unknown;COG3557;Uncharacterized conserved protein associated with RNAses G and E,  UPF0374/DUF402 family;1.4330985105730305;1
S;Function unknown;COG3583;Uncharacterized conserved protein YabE, contains G5 and tandem DUF348 domains;1.817830028414338;1
S;Function unknown;COG3689;Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family;1.6039483210725594;1
S;Function unknown;COG3763;Uncharacterized conserved protein YneF, UPF0154 family;1.7406662857889583;1
S;Function unknown;COG3856;Small basic protein Sbp (function unknown), DUF1290 domain;1.3505266591525962;1
S;Function unknown;COG4760;Uncharacterized membrane protein, YccA/Bax inhibitor family;1.3799105806753509;1
S;Function unknown;COG4768;Uncharacterized conserved protein YoxC, contains an MCP-like domain;1.3090570677119286;1
R;General function prediction only;COG4821;Uncharacterized conserved protein, contains SIS (Sugar ISomerase) phosphosugar binding domain;1.151267675330649;1
T;Signal transduction mechanisms;COG5278;Extracytoplasmic sensor domain CHASE3 (specificity unknown);3.0;1
T;Signal transduction mechanisms;COG3275;Sensor histidine kinase, LytS/YehU family;1.0239643531247102;1
T;Signal transduction mechanisms;COG3480;Predicted secreted protein YlbL, contains PDZ domain;2.7383332723345437;1
T;Signal transduction mechanisms;COG3870;Cyclic di-AMP receptor DarA/PstA;1.1608198921111226;1
T;Signal transduction mechanisms;COG3887;Cyclic di-AMP phosphodiesterase GdpP, contains GGDEF-like and DHH domains;1.1437097246530548;1
T;Signal transduction mechanisms;COG4550;Cell fate regulator YmcA, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development);1.64951636821538;1
