locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBAEIFD_00001	CDS	1503	dnaA			Chromosomal replication initiator protein DnaA
JDBAEIFD_00002	CDS	1131	griR			Beta sliding clamp GriR
JDBAEIFD_00003	CDS	948		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
JDBAEIFD_00004	CDS	1272	recF		COG1195	DNA replication and repair protein RecF
JDBAEIFD_00005	CDS	588				hypothetical protein
JDBAEIFD_00006	CDS	2049	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
JDBAEIFD_00007	CDS	2613	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
JDBAEIFD_00008	CDS	837				putative protein
JDBAEIFD_00009	tRNA	75				tRNA-Ile(gat)
JDBAEIFD_00010	CDS	120				hypothetical protein
JDBAEIFD_00011	tRNA	76				tRNA-Ala(tgc)
JDBAEIFD_00012	CDS	681		2.8.3.-	COG1670	Putative succinyl-CoA transferase
JDBAEIFD_00013	CDS	564				hypothetical protein
JDBAEIFD_00014	CDS	291				hypothetical protein
JDBAEIFD_00015	CDS	606				hypothetical protein
JDBAEIFD_00016	CDS	789				hypothetical protein
JDBAEIFD_00017	CDS	726	moaR1		COG3629	Transcriptional regulatory protein MoaR1
JDBAEIFD_00018	CDS	924	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
JDBAEIFD_00019	CDS	849				hypothetical protein
JDBAEIFD_00020	CDS	831				hypothetical protein
JDBAEIFD_00021	CDS	3138				hypothetical protein
JDBAEIFD_00022	CDS	1323				hypothetical protein
JDBAEIFD_00023	CDS	1029				hypothetical protein
JDBAEIFD_00024	CDS	540	cypB	5.2.1.8		Peptidyl-prolyl cis-trans isomerase B
JDBAEIFD_00025	CDS	720	glpG	3.4.21.105		Rhomboid protease GlpG
JDBAEIFD_00026	CDS	249	crgA			Cell division protein CrgA
JDBAEIFD_00027	CDS	867				hypothetical protein
JDBAEIFD_00028	CDS	822	srtE1	3.4.22.70	COG3764	Sortase SrtE1
JDBAEIFD_00029	CDS	159				hypothetical protein
JDBAEIFD_00030	CDS	624	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
JDBAEIFD_00031	CDS	2010	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
JDBAEIFD_00032	CDS	1290	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
JDBAEIFD_00033	CDS	1452	pbpA		COG0768	Penicillin-binding protein A
JDBAEIFD_00034	CDS	1473	rodA		COG0772	putative FtsW-like protein
JDBAEIFD_00035	CDS	1389	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
JDBAEIFD_00036	CDS	546	fhaB		COG1716	FHA domain-containing protein FhaB
JDBAEIFD_00037	CDS	711				hypothetical protein
JDBAEIFD_00038	tRNA	84				tRNA-Leu(cag)
JDBAEIFD_00039	CDS	1605				hypothetical protein
JDBAEIFD_00040	CDS	966				hypothetical protein
JDBAEIFD_00041	CDS	234				hypothetical protein
JDBAEIFD_00042	CDS	567				hypothetical protein
JDBAEIFD_00043	CDS	3357				hypothetical protein
JDBAEIFD_00044	CDS	1053				hypothetical protein
JDBAEIFD_00045	CDS	1098	nucS_1	3.1.-.-		Endonuclease NucS
JDBAEIFD_00046	CDS	573				hypothetical protein
JDBAEIFD_00047	CDS	777				hypothetical protein
JDBAEIFD_00048	CDS	2739				hypothetical protein
JDBAEIFD_00049	CDS	1620				hypothetical protein
JDBAEIFD_00050	CDS	1674				hypothetical protein
JDBAEIFD_00051	CDS	2319				hypothetical protein
JDBAEIFD_00052	CDS	648				hypothetical protein
JDBAEIFD_00053	CDS	792				hypothetical protein
JDBAEIFD_00054	CDS	531				hypothetical protein
JDBAEIFD_00055	CDS	1305	yeeO		COG0534	putative FMN/FAD exporter YeeO
JDBAEIFD_00056	CDS	1380	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
JDBAEIFD_00057	CDS	582	slmA_1			Nucleoid occlusion factor SlmA
JDBAEIFD_00058	CDS	744	proC_1	1.5.1.2		Pyrroline-5-carboxylate reductase
JDBAEIFD_00059	CDS	996	ccrA2	1.3.1.86	COG0604	Crotonyl-CoA reductase
JDBAEIFD_00060	CDS	381				hypothetical protein
JDBAEIFD_00061	CDS	1293	nhaP2			K(+)/H(+) antiporter NhaP2
JDBAEIFD_00062	CDS	897	yghA_1	1.-.-.-		putative oxidoreductase YghA
JDBAEIFD_00063	CDS	1041				hypothetical protein
JDBAEIFD_00064	CDS	480				hypothetical protein
JDBAEIFD_00065	CDS	726				hypothetical protein
JDBAEIFD_00066	CDS	486				hypothetical protein
JDBAEIFD_00067	CDS	1212				hypothetical protein
JDBAEIFD_00068	CDS	867				hypothetical protein
JDBAEIFD_00069	CDS	1662				hypothetical protein
JDBAEIFD_00070	CDS	822				hypothetical protein
JDBAEIFD_00071	CDS	1416				hypothetical protein
JDBAEIFD_00072	CDS	882	valG	2.4.1.338	COG0463	Validoxylamine A glucosyltransferase
